old_loc_id	loc_id	name_en	name_fr
999999	1	Not specified	Not specified (fr)
182	1
1	9	427 VS, Bedford Institute of Oceanograohy, Dartmouth, NS
2	129	Aquarium Boardroom, NEFSC, Woods Hole, Mass., USA
4	9	Baffin Boardroom (via videoconference), Bedford Institute of Oceanography, Dartmouth, NS
3	9	Baffin Boardroom
5	9	Baffin Boardroom, Bedford Institute of Oceanography, Dartmouth, NS
6	9	Bedford Institute of Oceanography
7	9	Bedford Institute of Oceanography, Dartmouth
8	9	Bedford Institute of Oceanography, Dartmouth, NS
9	9	Bedford Institute of Oceanography, George Needler Boardroom, Dartmouth, NS
10	9	Bedford Institute of Oceanography, Hayes Boardroom
11	9	Bedford Institute of Oceanography, Lewis King Boardroom, Dartmouth, NS
12	9	Bedford Institute of Oceanopgrahy, Lewis King Boardroom, Dartmouth, NS
14	9	BIO - Gully Boardroom
15	9	BIO - King Boardroom
16	9	BIO Auditorium
17	9	BIO Main Auditorium, Bedford Institute of Oceanography, Dartmouth, NS
13	9	BIO
18	9	BIO, Dartmouth, NS
30	159	Biological Station
19	159	Biological Station, St. Andrews, NB
20	159	Biological Stations, St. Andrews, NB
21	9	Bob's Office
22	25	Brunswick Room, Cambridge Suites Hotel, Halifax, Nova Scotia
23	25	Cambridge Suites, Halifax, Nova Scotia
24	25	Cambridge Suites, Halifax, NS
25	26	Charlottetown? University of PEI?
26	27	Coastal Inn, Windmill Road, Dartmouth, N.S.
27	28	conducted via e-mail over a period of months
28	159	Conference Centre, Biological Station, St. Andrews, NB
29	159	Conference Centre, St. Andrews
31	159	Conference Centre, St. Andrews, NB
32	33	Crowne Plaza - Lord Beaverbank, Fredericton, New Brunswick
33	9	CSA Office, Bedford Institute of Oceanography
34	9	CSA Office, Bedford Institute of Oceanography, Dartmouth, NS
35	9	CSA Office, BIO
36	38	Dartmouth, Nova Scotia
37	38	Dartmouth, NS
38	39	Days Inn, Dartmouth, NS
39	40	Delta Beauséjour Hotel, Moncton, NB
40	41	Delta Halifax Hotel, Halifax, Nova Scotia
41	9	Ford Auditorium, Bedford Institute of Oceanography, Dartmouth, NS
42	43	Fredericton Inn, Fredericton, New Brunswick
43	44	Fundy Complex, Digby, NS
44	45	Future Inns Dartmouth, Dartmouth, NS
45	45	Future Inns, Dartmouth
46	9	George Needler & Ron Trites Boardrooms, Bedford Institute of Oceanography, Dartmouth, NS
47	9	George Needler Boardroom, Bedford Institute of Oceanography, Dart., NS
48	9	George Needler Boardroom, Bedford Institute of Oceanography, Dartmouth, NS
49	9	George Needler Boardroom, BIO, Dartmouth, NS
50	9	George Needler II Boardroom
51	9	George Needler II Boardroom, Bedford Institute of Oceanography, Dart., NS
52	9	George Needler II Boardroom, Bedford Institute of Oceanography, Dartmouth, NS
53	9	George Needler II Boardroom, BIO, Dart., NS
54	9	George Needler II Boardroom, BIO, Dartmouth
55	9	George Needler II Boardroom, Dartmouth, NS
56	9	George Needler II, Bedford Institute of Oceanography, Dartmouth, NS
57	9	George Needler, Bedford Institute of Oceanography, Darmouth, NS
58	9	George Needler, Bedford Institute of Oceanography, Dartmouth, NS
59	9	Georges Needler II Boardroom, Bedford Institute of Oceanography, Dartmouth, NS
60	64	Gulf Fisheries Centre
