Category,English,Short English,French,Short French,Latin name,Population,SARA,COSEWIC,Website
Beaked Whale,Northern bottlenose whale ,Bottlenose,Hypéroodon de l’Atlantique nord,Hypéroodon,Hyperoodon ampullatus,Scotian Shelf,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/162-299
,Cuvier’s beaked whale ,,Baleine à bec de Cuvier,,Ziphius cavirostris,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/354-0
,Sowerby’s beaked whale ,,Baleine à bec de Sowerby,,Mesoplodon bidens,Atlantic,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/169-432
Baleen whales, Blue Whale ,,Baleine bleu,,Balaenoptera musculus,Atlantic,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/717-81
,Fin Whale ,,Rorqual commun,,Balaenoptera physalus,Atlantic,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/874-592
,Humpback Whale ,Humpback,Baleine à bosse,Baleine à bosse,Megaptera novaeangliae,Western North Atlantic,Not at Risk,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/160-531
,Common Minke Whale,Minke,Petit rorqual,Petit rorqual,Balaenoptera acutorostrata,North Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/894-0
,North Atlantic Right Whale ,NARW,Baleine noire de l'Atlantique nord,BNAN,Eubalaena glacialis,North Atlantic,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/780-298
,Sei Whale ,,Rorqual boréal,,Balaenoptera borealis,Atlantic,No status,Endangered,https://species-registry.canada.ca/index-en.html#/species/754-836
Toothed whales,Beluga Whale ,Beluga,Béluga,Béluga,Delphinapterus leucas,St. Lawrence Estuary,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/102-111
, Killer whale ,Killer Whale,Épaulard ,Épaulard ,Orcinus orca,Northwest Atlantic / Eastern Arctic,No status,Special Concern,https://species-registry.canada.ca/index-en.html#/species/598-6
,Long-finned Pilot Whale ,,Globicéphale commun,,Globicephala melas,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/358-0
,Harbour Porpoise ,,Marsouin commun,,Phocoena phocoena,Northwest Atlantic,No status,Special Concern,https://species-registry.canada.ca/index-en.html#/species/147-130
,Sperm Whale ,,Cachalot,,Physeter macrocephalus,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/362-0
Dolphin/porpoise,Atlantic white-sided dolphin ,,Dauphin à flancs blancs,,Lagenorhynchus acutus,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/339-0
,Short-beaked common dolphin ,,Dauphin commun à bec court,,Delphinus delphis,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/338-0
,Common bottlenose dolphin ,,Grand dauphin commun,,Tursiops truncatus,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/338-0
,White-beaked dolphin,,Dauphin à bec blanc,,Lagenorhynchus albirostris,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/550-0
,Risso’s dolphin ,,Dauphin de Risso,,Grampus griseus,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/342-0
 Seals,Harbour seal ,,Phoque commun,,Phoca vitulina concolor,Atlantic / Eastern Arctic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/595-0
,Grey seal ,,Phoque gris de l’Atlantique,,Halichoerus grypus,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/599-0
,Harp seal ,,Phoque du Groenland,,Pagophilus groenlandicus,Atlantic,No status,No status,https://www.dfo-mpo.gc.ca/species-especes/profiles-profils/harpseal-phoquegroenland-eng.html
,Hooded seal ,,Phoque à capuchon,,Cystophora cristata,Atlantic,No status,Not at Risk,https://species-registry.canada.ca/index-en.html#/species/345-0
 Turtles,Leatherback sea turtle ,,Tortue luth,,Dermochelys coriacea,Atlantic,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1191-861
,Loggerhead sea turtle ,,Tortues caouanes,,Caretta caretta,Atlantic,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1090-753
