,Grid,Week,Species,cfa,CEU,SS,FS
56623,NJ-257,26,Snow Crab,12E,73.0286,0.000099,0.0072
56667,NJ-259,26,Snow Crab,12E,73.0286,0.000099,0.0072
57898,NK-258,26,Snow Crab,12E,73.0286,0.000099,0.0072
57908,NK-259,26,Snow Crab,12E,73.0286,0.000099,0.0072
57918,NK-260,26,Snow Crab,12E,73.0286,0.000099,0.0072
88737,OM-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
88759,OM-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
89778,ON-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
89797,ON-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
90802,OO-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
91796,OP-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
92836,OQ-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
96040,OT-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
97116,OU-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
97135,OU-273,26,Snow Crab,12E,73.0286,0.000099,0.0072
99218,OW-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
99228,OW-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
99238,OW-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
99248,OW-273,26,Snow Crab,12E,73.0286,0.000099,0.0072
99267,OW-274,26,Snow Crab,12E,73.0286,0.000099,0.0072
100262,OX-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
100272,OX-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
100282,OX-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
100292,OX-273,26,Snow Crab,12E,73.0286,0.000099,0.0072
100302,OX-274,26,Snow Crab,12E,73.0286,0.000099,0.0072
100321,OX-275,26,Snow Crab,12E,73.0286,0.000099,0.0072
101306,OY-270,26,Snow Crab,12E,73.0286,0.000099,0.0072
101316,OY-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
101326,OY-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
101336,OY-273,26,Snow Crab,12E,73.0286,0.000099,0.0072
101365,OY-275,26,Snow Crab,12E,73.0286,0.000099,0.0072
102326,OZ-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
102336,OZ-272,26,Snow Crab,12E,73.0286,0.000099,0.0072
103351,PA-271,26,Snow Crab,12E,73.0286,0.000099,0.0072
112300,PN-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
112678,PO-279,27,Snow Crab,12F,71.1429,0.000125,0.0089
112689,PO-280,27,Snow Crab,12F,71.1429,0.000125,0.0089
112700,PO-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
112711,PO-282,27,Snow Crab,12F,71.1429,0.000125,0.0089
112722,PO-283,27,Snow Crab,12F,71.1429,0.000125,0.0089
113066,PP-280,27,Snow Crab,12F,71.1429,0.000125,0.0089
113077,PP-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
113088,PP-282,27,Snow Crab,12F,71.1429,0.000125,0.0089
113099,PP-283,27,Snow Crab,12F,71.1429,0.000125,0.0089
113110,PP-284,27,Snow Crab,12F,71.1429,0.000125,0.0089
113414,PQ-280,27,Snow Crab,12F,71.1429,0.000125,0.0089
113425,PQ-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
113436,PQ-282,27,Snow Crab,12F,71.1429,0.000125,0.0089
113447,PQ-283,27,Snow Crab,12F,71.1429,0.000125,0.0089
113458,PQ-284,27,Snow Crab,12F,71.1429,0.000125,0.0089
113739,PR-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
113750,PR-282,27,Snow Crab,12F,71.1429,0.000125,0.0089
113761,PR-283,27,Snow Crab,12F,71.1429,0.000125,0.0089
113772,PR-284,27,Snow Crab,12F,71.1429,0.000125,0.0089
114046,PS-281,27,Snow Crab,12F,71.1429,0.000125,0.0089
114057,PS-282,27,Snow Crab,12F,71.1429,0.000125,0.0089
114068,PS-283,27,Snow Crab,12F,71.1429,0.000125,0.0089
114913,PV-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
114924,PV-289,27,Snow Crab,12F,71.1429,0.000125,0.0089
114935,PV-290,27,Snow Crab,12F,71.1429,0.000125,0.0089
114946,PV-291,27,Snow Crab,12F,71.1429,0.000125,0.0089
115118,PW-286,27,Snow Crab,12F,71.1429,0.000125,0.0089
115129,PW-287,27,Snow Crab,12F,71.1429,0.000125,0.0089
115140,PW-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
115151,PW-289,27,Snow Crab,12F,71.1429,0.000125,0.0089
115162,PW-290,27,Snow Crab,12F,71.1429,0.000125,0.0089
115173,PW-291,27,Snow Crab,12F,71.1429,0.000125,0.0089
115184,PW-292,27,Snow Crab,12F,71.1429,0.000125,0.0089
115319,PX-286,27,Snow Crab,12F,71.1429,0.000125,0.0089
115330,PX-287,27,Snow Crab,12F,71.1429,0.000125,0.0089
115341,PX-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
115352,PX-289,27,Snow Crab,12F,71.1429,0.000125,0.0089
115363,PX-290,27,Snow Crab,12F,71.1429,0.000125,0.0089
115374,PX-291,27,Snow Crab,12F,71.1429,0.000125,0.0089
115385,PX-292,27,Snow Crab,12F,71.1429,0.000125,0.0089
115396,PX-293,27,Snow Crab,12F,71.1429,0.000125,0.0089
115526,PY-286,27,Snow Crab,12F,71.1429,0.000125,0.0089
115537,PY-287,27,Snow Crab,12F,71.1429,0.000125,0.0089
115548,PY-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
115559,PY-289,27,Snow Crab,12F,71.1429,0.000125,0.0089
115570,PY-290,27,Snow Crab,12F,71.1429,0.000125,0.0089
115733,PZ-286,27,Snow Crab,12F,71.1429,0.000125,0.0089
115744,PZ-287,27,Snow Crab,12F,71.1429,0.000125,0.0089
115755,PZ-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
115766,PZ-289,27,Snow Crab,12F,71.1429,0.000125,0.0089
115962,QA-287,27,Snow Crab,12F,71.1429,0.000125,0.0089
115973,QA-288,27,Snow Crab,12F,71.1429,0.000125,0.0089
116274,QB-298,27,Snow Crab,12F,71.1429,0.000125,0.0089
90821,OO-271,26,Snow Crab,12E,73.0286,0.000149,0.0109
91806,OP-271,26,Snow Crab,12E,73.0286,0.000149,0.0109
93900,OR-271,26,Snow Crab,12E,73.0286,0.000149,0.0109
115581,PY-291,27,Snow Crab,12F,71.1429,0.000188,0.0134
115592,PY-292,27,Snow Crab,12F,71.1429,0.000188,0.0134
115614,PY-294,27,Snow Crab,12F,71.1429,0.000188,0.0134
116077,QA-297,27,Snow Crab,12F,71.1429,0.000188,0.0134
116345,QC-289,27,Snow Crab,12F,71.1429,0.000188,0.0134
116571,QD-298,27,Snow Crab,12F,71.1429,0.000188,0.0134
116650,QE-297,27,Snow Crab,12F,71.1429,0.000188,0.0134
57886,NK-257,24,Snow Crab,12E,142,0.000097,0.0138
59110,NL-260,24,Snow Crab,12E,142,0.000097,0.0138
59120,NL-261,24,Snow Crab,12E,142,0.000097,0.0138
64933,NQ-263,24,Snow Crab,12E,142,0.000097,0.0138
89793,ON-271,24,Snow Crab,12E,142,0.000097,0.0138
90817,OO-271,24,Snow Crab,12E,142,0.000097,0.0138
91804,OP-271,24,Snow Crab,12E,142,0.000097,0.0138
91821,OP-272,24,Snow Crab,12E,142,0.000097,0.0138
92844,OQ-271,24,Snow Crab,12E,142,0.000097,0.0138
93908,OR-272,24,Snow Crab,12E,142,0.000097,0.0138
94979,OS-272,24,Snow Crab,12E,142,0.000097,0.0138
96055,OT-273,24,Snow Crab,12E,142,0.000097,0.0138
96077,OT-274,24,Snow Crab,12E,142,0.000097,0.0138
97084,OU-269,24,Snow Crab,12E,142,0.000097,0.0138
97094,OU-270,24,Snow Crab,12E,142,0.000097,0.0138
97104,OU-271,24,Snow Crab,12E,142,0.000097,0.0138
97114,OU-272,24,Snow Crab,12E,142,0.000097,0.0138
97131,OU-273,24,Snow Crab,12E,142,0.000097,0.0138
98140,OV-269,24,Snow Crab,12E,142,0.000097,0.0138
98150,OV-270,24,Snow Crab,12E,142,0.000097,0.0138
98160,OV-271,24,Snow Crab,12E,142,0.000097,0.0138
98170,OV-272,24,Snow Crab,12E,142,0.000097,0.0138
98180,OV-273,24,Snow Crab,12E,142,0.000097,0.0138
99196,OW-268,24,Snow Crab,12E,142,0.000097,0.0138
99206,OW-269,24,Snow Crab,12E,142,0.000097,0.0138
99263,OW-274,24,Snow Crab,12E,142,0.000097,0.0138
100317,OX-275,24,Snow Crab,12E,142,0.000097,0.0138
107518,PF-274,24,Snow Crab,12E,142,0.000097,0.0138
107528,PF-275,24,Snow Crab,12E,142,0.000097,0.0138
107577,PF-278,24,Snow Crab,12E,142,0.000097,0.0138
108253,PG-276,24,Snow Crab,12E,142,0.000097,0.0138
108942,PH-278,24,Snow Crab,12E,142,0.000097,0.0138
109606,PI-278,24,Snow Crab,12E,142,0.000097,0.0138
56599,NJ-256,25,Snow Crab,12E,142,0.0001,0.0143
61451,NN-259,25,Snow Crab,12E,142,0.0001,0.0143
69207,NU-265,25,Snow Crab,12E,142,0.0001,0.0143
89817,ON-272,25,Snow Crab,12E,142,0.0001,0.0143
92835,OQ-270,25,Snow Crab,12E,142,0.0001,0.0143
93899,OR-271,25,Snow Crab,12E,142,0.0001,0.0143
94963,OS-271,25,Snow Crab,12E,142,0.0001,0.0143
97085,OU-269,25,Snow Crab,12E,142,0.0001,0.0143
97095,OU-270,25,Snow Crab,12E,142,0.0001,0.0143
97105,OU-271,25,Snow Crab,12E,142,0.0001,0.0143
97115,OU-272,25,Snow Crab,12E,142,0.0001,0.0143
98141,OV-269,25,Snow Crab,12E,142,0.0001,0.0143
98151,OV-270,25,Snow Crab,12E,142,0.0001,0.0143
98161,OV-271,25,Snow Crab,12E,142,0.0001,0.0143
98171,OV-272,25,Snow Crab,12E,142,0.0001,0.0143
98181,OV-273,25,Snow Crab,12E,142,0.0001,0.0143
98199,OV-274,25,Snow Crab,12E,142,0.0001,0.0143
99197,OW-268,25,Snow Crab,12E,142,0.0001,0.0143
99207,OW-269,25,Snow Crab,12E,142,0.0001,0.0143
106023,PD-273,25,Snow Crab,12E,142,0.0001,0.0143
106800,PE-274,25,Snow Crab,12E,142,0.0001,0.0143
106810,PE-275,25,Snow Crab,12E,142,0.0001,0.0143
106820,PE-276,25,Snow Crab,12E,142,0.0001,0.0143
108916,PH-276,25,Snow Crab,12E,142,0.0001,0.0143
108926,PH-277,25,Snow Crab,12E,142,0.0001,0.0143
109559,PI-276,25,Snow Crab,12E,142,0.0001,0.0143
109580,PI-277,25,Snow Crab,12E,142,0.0001,0.0143
94964,OS-271,26,Snow Crab,12E,73.0286,0.000198,0.0145
96059,OT-273,26,Snow Crab,12E,73.0286,0.000198,0.0145
101346,OY-274,26,Snow Crab,12E,73.0286,0.000198,0.0145
102346,OZ-273,26,Snow Crab,12E,73.0286,0.000198,0.0145
102356,OZ-274,26,Snow Crab,12E,73.0286,0.000198,0.0145
102375,OZ-275,26,Snow Crab,12E,73.0286,0.000198,0.0145
102397,OZ-276,26,Snow Crab,12E,73.0286,0.000198,0.0145
103361,PA-272,26,Snow Crab,12E,73.0286,0.000198,0.0145
104316,PB-272,26,Snow Crab,12E,73.0286,0.000198,0.0145
105219,PC-272,26,Snow Crab,12E,73.0286,0.000198,0.0145
107520,PF-274,26,Snow Crab,12E,73.0286,0.000198,0.0145
108235,PG-274,26,Snow Crab,12E,73.0286,0.000198,0.0145
108907,PH-275,26,Snow Crab,12E,73.0286,0.000198,0.0145
108927,PH-277,26,Snow Crab,12E,73.0286,0.000198,0.0145
115603,PY-293,27,Snow Crab,12F,71.1429,0.000251,0.0178
115777,PZ-290,27,Snow Crab,12F,71.1429,0.000251,0.0178
115843,PZ-296,27,Snow Crab,12F,71.1429,0.000251,0.0178
115984,QA-289,27,Snow Crab,12F,71.1429,0.000251,0.0178
116175,QB-289,27,Snow Crab,12F,71.1429,0.000251,0.0178
57829,NK-252,17,Snow Crab,12E,162.5714,0.000111,0.018
57839,NK-253,17,Snow Crab,12E,162.5714,0.000111,0.018
57849,NK-254,17,Snow Crab,12E,162.5714,0.000111,0.018
57859,NK-255,17,Snow Crab,12E,162.5714,0.000111,0.018
57869,NK-256,17,Snow Crab,12E,162.5714,0.000111,0.018
57879,NK-257,17,Snow Crab,12E,162.5714,0.000111,0.018
59033,NL-253,17,Snow Crab,12E,162.5714,0.000111,0.018
59043,NL-254,17,Snow Crab,12E,162.5714,0.000111,0.018
59053,NL-255,17,Snow Crab,12E,162.5714,0.000111,0.018
59063,NL-256,17,Snow Crab,12E,162.5714,0.000111,0.018
59073,NL-257,17,Snow Crab,12E,162.5714,0.000111,0.018
82293,OG-266,17,Snow Crab,12E,162.5714,0.000111,0.018
82303,OG-267,17,Snow Crab,12E,162.5714,0.000111,0.018
83389,OH-266,17,Snow Crab,12E,162.5714,0.000111,0.018
83399,OH-267,17,Snow Crab,12E,162.5714,0.000111,0.018
83409,OH-268,17,Snow Crab,12E,162.5714,0.000111,0.018
84473,OI-265,17,Snow Crab,12E,162.5714,0.000111,0.018
84483,OI-266,17,Snow Crab,12E,162.5714,0.000111,0.018
84493,OI-267,17,Snow Crab,12E,162.5714,0.000111,0.018
84503,OI-268,17,Snow Crab,12E,162.5714,0.000111,0.018
85533,OJ-266,17,Snow Crab,12E,162.5714,0.000111,0.018
85543,OJ-267,17,Snow Crab,12E,162.5714,0.000111,0.018
85553,OJ-268,17,Snow Crab,12E,162.5714,0.000111,0.018
85563,OJ-269,17,Snow Crab,12E,162.5714,0.000111,0.018
86593,OK-266,17,Snow Crab,12E,162.5714,0.000111,0.018
86603,OK-267,17,Snow Crab,12E,162.5714,0.000111,0.018
86613,OK-268,17,Snow Crab,12E,162.5714,0.000111,0.018
86623,OK-269,17,Snow Crab,12E,162.5714,0.000111,0.018
87641,OL-267,17,Snow Crab,12E,162.5714,0.000111,0.018
87651,OL-268,17,Snow Crab,12E,162.5714,0.000111,0.018
87661,OL-269,17,Snow Crab,12E,162.5714,0.000111,0.018
87671,OL-270,17,Snow Crab,12E,162.5714,0.000111,0.018
88689,OM-267,17,Snow Crab,12E,162.5714,0.000111,0.018
88699,OM-268,17,Snow Crab,12E,162.5714,0.000111,0.018
88709,OM-269,17,Snow Crab,12E,162.5714,0.000111,0.018
90793,OO-270,17,Snow Crab,12E,162.5714,0.000111,0.018
