Species,AreaID,Participants,Participant detail,Start date of Season,Day start,Month start,Year start,End date of Season,Day end,Month end,Year end,Fishery Status,Type of License,Management System,General comments,Gear Type,Average Gear Amount/Participant,Gear Configuration,Avg Rope Soak time (hrs),Gear Primary Colour,Gear Secondary Colour,Gear Tertiary Colour,Gear Comment,ASO %,Dockside %,Logbook %,VMS %,Monitoring Comment,Mitigation Type,Mitigation comments,Marine Mammals
Atlantic Herring,HFA_16A,0,Fall. Does not meet Rule of 5,18-Aug,18,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,Generic seasonal dates added. Reporting on fishing activity does not meet the Rule of 5,Set Gillnet,0,not available,0,Blue,Grey,None,Added 0 when Rule of 5 not met. ,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16B,50,Fall-QC,18-Aug,18,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,No fishing from 13:00 Friday to 19:00 Sunday. Average Start 18-Aug. Average End 15-Sep.,Set Gillnet,8,2 ropes/net,4.8,Blue,Grey,None,56% - 1 rope/net,0,100,0,0,DMP- declaration of 100% of catches through radio and dockside verification of 25% of landings,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16B,113,Fall-NB,18-Aug,18,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,No fishing from 13:00 Friday to 19:00 Sunday. Average Start 18-Aug. Average End 15-Sep.,Set Gillnet,8,2 ropes/net,4.8,Blue,Grey,None,70% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16C,57,Fall,25-Aug,25,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,No fishing from 13:00 Friday to 19:00 Sunday. Average Start 25-Aug. Average End 13-Sep.,Set Gillnet,8,2 ropes/net,2.4,Blue,Grey,None,8% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16D,0,Fall. Does not meet Rule of 5,25-Aug,25,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,Generic seasonal dates added. Reporting on fishing activity does not meet the Rule of 5.,Set Gillnet,0,not available,0,Blue,Grey,None,Added 0 when Rule of 5 not met. ,0,100,100,0,DMP- declaration of 100% of catches through radio and dockside verification of 25% of landings,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16E,76,Fall,25-Aug,25,8,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,No fishing from 13:00 Friday to 19:00 Sunday. Average Start 25-Aug. Average End 13-Sep.,Set Gillnet,8,2 ropes/net,4.8,Blue,Grey,None,4% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16F,133,Fall,8-Sep,8,9,2022,6-Oct,6,10,2022,Active,Single Species,Quota - Individual,No fishing from 12:00 Friday to 18:00 Sunday. Average Start 8-Sep. Average End 6-Oct.,Set Gillnet,7,2 ropes/net,9.6,Blue,Grey,None,2% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16G,66,Fall,14-Sep,14,9,2022,9-Oct,9,10,2022,Active,Single Species,Quota - Individual,No fishing from 15:00 Friday to 15:00 Sunday. Average Start 14-Sep. Average End 9-Oct.,Set Gillnet,7,2 ropes/net,2.4,Blue,Grey,None,0% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16A,6,Spring,14-Jun,14,6,2022,31-Dec,31,12,2022,Active,Single Species,Quota - Individual,Average Start 7-Apr. Average End 30-Jun.,Set Gillnet,23,2 ropes/net,24,Blue,Grey,None,0% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
Atlantic Herring,HFA_16B,7,Spring-NB,1-Apr,1,4,2022,30-Jun,30,6,2022,Active,Single Species,Quota - Individual,Average Start 1-May. Average End 22-May.,Set Gillnet,21,2 ropes/net,23.3,Blue,Grey,None,0% - 1 rope/net,0,100,0,0,,Approach Distances; Gear Modification,,Atlantic white-sided dolphin; Beluga; Common bottlenose dolphin;  Common minke whale; Fin whale; Grey seal; Harbour porpoise; Harbour seal; Humpback whale; Long-finned pilot whale; North Atlantic right whale; Sei whale; White-beaked dolphin
