"VESSEL_CODE"	"NAME"	"VESSEL_ID"
"#2B 1030"	"#2B 1030"	
"#32016"	"#32016"	
"#33642"	"#33642"	
"'TI GERRY"	"'TI GERRY"	
"( NO NAME )  ?"	"( NO NAME )  ?"	
"017732"	"017732"	
"10004"	"SEA FOX #1"	"10004"
"100073"	"FOLLOW ME"	"100073"
"100107"	"MARG & BOYS"	"100107"
"100207"	"OLD SCOTIA"	"100207"
"100271"	"BAY BOYS 111"	"100271"
"100354"	"SOUTH SIDE LAD IV"	"100354"
"100366"	"LITTLE NUBBIN II"	"100366"
"100440"		"100440"
"100446"	"ISLAND GYPSY II"	"100446"
"100483"	"100483"	
"100503"	"ASHAWAY"	"100503"
"100513"	"FIRST MUR MADE"	"100513"
"100546"		"100546"
"100572"	"WANDA & ALANA"	"100572"
"100578"	"SEVEN KINGS IV"	"100578"
"100810"	"MAJESTIC BLUE"	"100810"
"100952"	"NATALIE JOY"	"100952"
"100965"	"23A1790"	"100965"
"101029"	"MARGARET & WILFRED"	"101029"
"101181"	"SEA ROVER"	"101181"
"101218"	"SAILING BLUES I"	"101218"
"10122"	"10122"	
"101239"	"TAMMY MARLENE"	"101239"
"101252"	"101252"	
"101269"	"C00112N.S."	"101269"
"101307"	"NONA ALAYNE II"	"101307"
"101308"	"CHARGER  I"	"101308"
"101478"	"AMANDA J I"	"101478"
"101568"	"ATLANTIC INVADER"	"101568"
"101609"	"CODY & KATHRYN"	"101609"
"101616"	"RICHMOND ODYSSEY"	"101616"
"101765"	"BAY MARINER"	"101765"
"101784"	"NOBBLIK"	"101784"
"101800"	"RANDY & ALISA"	"101800"
"101816"	"ALMA DUCK"	"101816"
"101873"	"LADY EILEEN"	"101873"
"102032"	"CRYSTAL DENISE"	"102032"
"102043"	"JASON AND IRENE"	"102043"
"10206"	"10206"	
"102078"	"HAILEY DAWN"	"102078"
"102123"	"BREANNA MARY"	"102123"
"102126"	"RODDIE & COLIN"	"102126"
"102127"	"BLACK & WHITE"	"102127"
"102176"	"102176"	
"102204"	"SHERRY DANIELLE"	"102204"
"10230"	"YANNICK V"	"10230"
"102320"	"NOVA LADY"	"102320"
"102356"	"CHARITY & NATHAN"	"102356"
"102438"	"21A1702"	"102438"
"102465"	"SARAH DAN"	"102465"
"102492"	"WILD ONE"	"102492"
"10260"	"10260"	
"102852"	"MORNING STAR"	"102852"
"102983"	"MISS CALYPSO"	"102983"
"102988"	"KITPU (EAGLE) IV"	"102988"
"103034"	"NEWFY SCREECH"	"103034"
"103052"	"PREDATOR"	"103052"
"103087"	"FIRST & LAST"	"103087"
"103110"	"CAPTAIN JASON II"	"103110"
"1031207"	"1031207"	
"103195"	"DAWN TREADER 1"	"103195"
"103198"	"JUST FOR FUN 111"	"103198"
"103207"	"EASTERN FISHER"	"103207"
"103392"	"GO FOR BROKE"	"103392"
"103410"	"LAST CHANCE"	"103410"
"103502"	"SHANNON & BROTHERS"	"103502"
"103515"	"HEAD START"	"103515"
"103653"	"LURCHER SHOAL III"	"103653"
"103664"	"SAK III"	"103664"
"10380"	"10380"	
"10383"	"10383"	
"103831"	"GARLAND PRIDE NO I"	"103831"
"103946"	"103946"	
"103949"	"CAPTAIN CUB"	"103949"
"104235"	"PAT & JENNIFER"	"104235"
"104309"	"FUNDY MERMAID"	"104309"
"104354"	"KITPU (EAGLE) VIII"	"104354"
"104393"	"TWISTER I"	"104393"
"104463"	"MEAN STREAK"	"104463"
"104543"	"104543"	
"1046"	"JEAN COLETTE"	"1046"
"104653"	"CANSO BREEZE"	"104653"
"104661"	"11A15538"	"104661"
"104668"	"ARTHUR V"	"104668"
"104709"	"HOOKED ON FISHING"	"104709"
"104762"	"JOHN JOSEPH"	"104762"
"104883"	"FLOATING INTEREST"	"104883"
"104907"	"PATRICIA NICOLE"	"104907"
"104919"	"CHIEF STAN JOHNSON"	"104919"
"104978"	"CRACK CORN"	"104978"
"105015"	"28A3999"	"105015"
"105016"	"NOI I"	"105016"
"105046"	"KITPU (EAGLE) III"	"105046"
"105056"	"BAY LEADER I"	"105056"
"105067"		"105067"
"105079"	"PKWIMU"	"105079"
"105120"	"B & J VENTURE"	"105120"
"105163"	"MILLENNIUM MISTRESS"	"105163"
"105189"	"LADY NEWELL"	"105189"
"105262"	"MEMBERTOU II"	"105262"
"105275"	"BAILEY-N-BOYS"	"105275"
"105326"	"I.V.Y"	"105326"
"105492"	"MARY HEATHER"	"105492"
"105493"	"CURTIS & MEGAN"	"105493"
"105519"	"THE TAX BREAKER"	"105519"
"105528"	"WAGMATCOOKEWEY II"	"105528"
"105658"	"DEMON'S TWIN"	"105658"
"105690"	"DANA'S DREAM"	"105690"
"105714"	"KELLET'S PRIDE"	"105714"
"105762"	"GENTLE LADY"	"105762"
"105873"	"BRIAND'S PRIDE"	"105873"
"105876"	"MASTER DYLAN"	"105876"
"105878"	"SEA THUNDER"	"105878"
"106289"	"FRANCIS JAMES ROBINSON"	"106289"
"106295"	"JOLLY JUMPER"	"106295"
"106318"	"MOVIN N' GOVIN"	"106318"
"106333"	"LADY LUXEY"	"106333"
"106459"	"106459"	
"10664"	"SOULEIADO"	"10664"
"10674"	"L'INCORRUPTIBLE"	"10674"
"11132"	"11132"	
"11137"	"11137"	
"11162"	"11162"	
"11501"	"GAGTUGWAW"	"11501"
"11503"	"CLAUDE MARTIN"	"11503"
"11656"	"SONIA C II"	"11656"
"11659"	"MARIE-MANON"	"11659"
"11667"	"11667"	
"11668"	"CLAUDIA PASCAL"	"11668"
"11701"	"11701"	
"11708"	"SIMDAN"	"11708"
"11709"	"L'OCÉANIQUE"	"11709"
"11710"	"CORÉGONE"	"11710"
"11711"	"LE NORMAND"	"11711"
"11717"	"SIROCCO"	"11717"
"1172"	"1172"	
"11867"	"G.C.M.P."	"11867"
"11868"	"SEXTANT"	"11868"
"11869"	"ODYSSÉE 2001"	"11869"
"11873"	"L'ALBERTO"	"11873"
"11899"	"ASTRO"	"11899"
"11SYLVIE H"	"11SYLVIE H"	
"12012"	"MATHIEU-MARIE-PIER"	"12012"
"12149"	"ANNICK NADINE"	"12149"
"12223"	"SIMONE MARIE"	"12223"
"12244"	"MYLENE H"	"12244"
"12249"	"JUNE AND SANDRA"	"12249"
"12258"	"JULIE PHILLIP"	"12258"
"12308"	"PIER-LUC I"	"12308"
"1234"	"PIERRE M"	"1234"
"12349"	"EMERISE R."	"12349"
"12356"	"RODGER AND KELLY"	"12356"
"12374"	"HACHE III"	"12374"
"12383"	"MARCEL ANDRE"	"12383"
"12401"	"J. B. CHANTALE"	"12401"
"12418"	"BOLD VENTURE NO I"	"12418"
"12434"	"NICOLE REMI"	"12434"
"12444"	"CENTENNIAL LADY II"	"12444"
"12446"	"CORY & KIEL"	"12446"
"12448"	"CINDY H II"	"12448"
"12449"	"DEAN C.R."	"12449"
"12490"	"ALAIN G"	"12490"
"12492"	"LE GRAND DUC"	"12492"
"12502"	"M S ROSE"	"12502"
"12523"	"MARIE-BERTHE"	"12523"
"12529"	"ROBERTA JOYE"	"12529"
"12541"	"MARY-WONDER"	"12541"
"12554"	"DOMINIC NADINE"	"12554"
"12575"	"STACY ANN"	"12575"
"12581"	"RICKIE&CHERRY"	"12581"
"12593"	"CLAUDETTE DIANE"	"12593"
"12621"	"MISS ELLA"	"12621"
"12631"	"12631"	
"12636"	"L & M"	"12636"
"12637"	"P A S T"	"12637"
"12644"	"C.M.R."	"12644"
"12645"	"SECOND GENERATION"	"12645"
"12674"	"MARS D"	"12674"
"12676"	"KIMBERLY & BROTHERS"	"12676"
"12679"	"RISKY BUSINESS 75"	"12679"
"12694"	"URSULE II"	"12694"
"12696"	"WAYNE & RANDY"	"12696"
"12719"	"SOPHIE B"	"12719"
"12720"	"LINDA GILLES"	"12720"
"12725"	"JOHNA LEE"	"12725"
"12772"	" 1A1156"	"12772"
"12783"	"JACQUELINE R"	"12783"
"12789"	"YELLOW DART"	"12789"
"12824"	"ZELMA AND MILDRED"	"12824"
"12868"	"SAMUEL D."	"12868"
"12874"	"GGT"	"12874"
"12875"	"12875"	
"12878"	"JAMIE M"	"12878"
"12883"	"IAN RENAUD"	"12883"
"12886"	"MICHEL C"	"12886"
"12887"	"HELENE PIERRE"	"12887"
"12888"	"D.A.R."	"12888"
"12893"	"LUCKY FIVE"	"12893"
"12922"	"DAUPHIN X"	"12922"
"12926"	"BLACK DIAMOND"	"12926"
"12928"	"HUBERT MARTIN"	"12928"
"12952"	"SOU-WESTERN"	"12952"
"12971"	"21A-1561"	"12971"
"12984"	"MISS SEA VIEW"	"12984"
"12991"	"PRESTON & LYNDON"	"12991"
"129925"	"ROYAL MARINER"	"129925"
"129948"	"ORION 1"	"129948"
"13001"	"GOLDEN EAGLE"	"13001"
"13012"	"NATHALIE P"	"13012"
"130207"	"130207"	
"13028"	"LINE DANNY II"	"13028"
"13031"	"CHERYL ANNE II"	"13031"
"13034"	"DIANE MARY I"	"13034"
"13038"	"FLYING HAWK II"	"13038"
"13055"	"CAROL M II"	"13055"
"13065"	"LYNE I"	"13065"
"13067"	"MINK RIVER LADY"	"13067"
"13071"	"PRINCESS NOVA"	"13071"
"13074"	"SH 50"	"13074"
"13075"	"THEDA"	"13075"
"13076"	"THUNDERBIRD V"	"13076"
"13091"	"DIAMOND CUTTER"	"13091"
"13099"	"MISS STEPHANE"	"13099"
"13104"	"RANDY A"	"13104"
"13110"	"STEPHANIE&STEVEN"	"13110"
"13126"	"HAPPY TRAMP III"	"13126"
"13129"	"SANDRA & AMANDA"	"13129"
"13132"	"KEVIN JOAN"	"13132"
"13133"	"LADY IN BLACK"	"13133"
"13136"	"7C1066"	"13136"
"13140"	"SHE BOSS ME NOT"	"13140"
"13142"	"TWILA RHONDA"	"13142"
"13156"	"DEBBIE G"	"13156"
"13157"	"DEREK A B"	"13157"
"13160"	"13160"	
"13168"	"NATHALIE B"	"13168"
"13181"	"B P R"	"13181"
"13184"	"C R & J #1"	"13184"
"13189"		"13189"
"13199"	"LORNE ROBERT"	"13199"
"13201"	"R.A.B. #1"	"13201"
"13205"	"1C921"	"13205"
"13206"	"NORMA LEE 111"	"13206"
"13209"	"ANNE"	"13209"
"13213"	"DONALD GUY"	"13213"
"13222"	"MORNING BREEZE II"	"13222"
"13225"	"PAULINE III"	"13225"
"13227"	"SEA HAWK NO 1"	"13227"
"13232"	"BIG CLAW"	"13232"
"13240"	"DAVID AND CECILIA"	"13240"
"13251"	"JACANDE"	"13251"
"13254"	"M/V LORI'S CHOICE"	"13254"
"13255"	"1C952"	"13255"
"13262"	"MAUREENA M"	"13262"
"13281"	"SEA CAP"	"13281"
"13283"	"WEAK COMFORT"	"13283"
"13296"	"WILMA JOAN"	"13296"
"13297"		"13297"
"13304"	"BREEZE QUIET #1"	"13304"
"13309"	"CORA C NO I"	"13309"
"13313"	"DIANA M"	"13313"
"13324"	"JANE & JANET"	"13324"
"13326"	"JENNIFER LYNN"	"13326"
"13327"	"1C953"	"13327"
"13340"	"1A1520"	"13340"
"13354"	"MR J"	"13354"
"13356"	"TERRY M II"	"13356"
"13358"	"ANITA MARIE NO 1"	"13358"
"13364"	"CRISSY G"	"13364"
"13367"	"DANIEL ROLAND"	"13367"
"13373"	"GAETAN F"	"13373"
"13377"	"JULIE NO I"	"13377"
"13378"	"1C950"	"13378"
"13383"	"MARY SANDRA"	"13383"
"13385"	"OLIVE&LAURIE"	"13385"
"13387"	"RUSTICO QUEEN"	"13387"
"13399"	"1C963"	"13399"
"13425"	"HOLLY"	"13425"
"13430"	"JAMIE NO I"	"13430"
"13433"	"JENNY B NO 1"	"13433"
"13435"	"KINNEAR'S JOY"	"13435"
"13437"	"LINDSAY#1"	"13437"
"13442"	"KIMBERLY ANN IV"	"13442"
"13446"	"MISS DYNAMIC"	"13446"
"13455"	"PRINCE ROBIN"	"13455"
"13464"	"SHARON DAWN I"	"13464"
"13465"	"TRIPLE J."	"13465"
"13467"	"SUSAN DENISE"	"13467"
"13474"	"WHITE SHADOW (THE)"	"13474"
"13490"	"13490"	
"13503"	"OWEN MOR"	"13503"
"13507"	"JACKLYN ANNE"	"13507"
"13508"	"KRISTA MICHELLE"	"13508"
"13516"	"R J W"	"13516"
"13539"	"MISS SUE"	"13539"
"13540"	"ANGELINE & BROTHERS"	"13540"
"13550"	"21C1648"	"13550"
"13574"	"7C1092"	"13574"
"13581"	"STARLIGHT IV"	"13581"
"13583"	"MISS TINA NO 1"	"13583"
"13584"	"ALINE M"	"13584"
"13585"	"TIC-A-FOG"	"13585"
"13588"	"PAUL TINA"	"13588"
"13592"	"MELISSA-FRANCIS"	"13592"
"13605"	"HEATHER & GIRLS"	"13605"
"13610"	"KYORA III"	"13610"
"13612"	"MISS CMT"	"13612"
"13621"	"2C 214"	"13621"
"136382"	"136382"	
"13639"	"TROY P"	"13639"
"136392"	"136392"	
"13641"	"V L D S"	"13641"
"13646"	"JO-ANNE & BROS II"	"13646"
"13651"	"BABY BEAR"	"13651"
"13652"	"LINDA B I"	"13652"
"13657"	"CASPEN ANCHOR NO 1"	"13657"
"13667"	"FREELANDER"	"13667"
"13677"	"LAURA CHRISTIE"	"13677"
"13679"	"MYRNA MARINA NO I"	"13679"
"13693"	"JOSEPHINE D"	"13693"
"13706"	"FORTUNE PRINCESS"	"13706"
"13718"	"LITTLE SCOTTIE"	"13718"
"13719"	"JESSINIK"	"13719"
"13730"	"SEA TIGER 3A430"	"13730"
"13742"	"OLIVIER M"	"13742"
"13743"	"STAR FISHER"	"13743"
"13749"	"21C1706"	"13749"
"13750"	"DEBBIE LEE"	"13750"
"13756"	"M J M NO I"	"13756"
"13776"	"MISS ANGELE"	"13776"
"13779"	"21C1380"	"13779"
"13780"	"BRIAN & LISA"	"13780"
"13795"	"KELLY ANN T"	"13795"
"13817"	"LOUISE ""C"""	"13817"
"13822"	"LIETTE M"	"13822"
"13845"	"2B2841"	"13845"
"13867"	"LEMAC 21C1627"	"13867"
"13903"	"JEAN MARC J"	"13903"
"13912"	"ROBIN T"	"13912"
"13922"	"J C D"	"13922"
"13940"	"CORINNA'S PRIDE"	"13940"
"13941"	"CORBO"	"13941"
"13950"	"7C1129"	"13950"
"13962"	"CRYSTAL GALE"	"13962"
"13975"	"ESPADON"	"13975"
"139941"	"139941"	
"14015"	"ASPY BAY"	"14015"
"14081"	"PETER PAN"	"14081"
"14108"	"TAMMY LYNN II"	"14108"
"14111"	"ANN GORDON"	"14111"
"14151"	"LINDA AND JANICE"	"14151"
"14155"	"SNOW FLAKE II"	"14155"
"14166"	"JOHN P"	"14166"
"14171"	"SHEILA II"	"14171"
"14173"	"DANDY BOAT IV"	"14173"
"14177"	"GREEN DOLPHIN"	"14177"
"14201"	"BETTY T 11"	"14201"
"14218"	"BETTY ANNE II"	"14218"
"14251"	"CRYSTAL & VICKI"	"14251"
"14263"	"LYNDON ELAINE"	"14263"
"14283"	"BEL AIR"	"14283"
"14288"	"CAPE LINZEE 21A649"	"14288"
"14295"	"CHRIS DENA"	"14295"
"14297"	"14297"	
"14300"	"LOTTIE"	"14300"
"14321"	"DINA MARIE"	"14321"
"14324"	"BLAINE"	"14324"
"143550"	"143550"	
"14535"	"CRUBANACH"	"14535"
"146"	"BERNARDINE"	"146"
"14671"	"VOYAGEUR NO I"	"14671"
"14705"	"CBC"	"14705"
"14773"		"14773"
"14786"	"SPANISH FIREBALL"	"14786"
"14808"	"BUSY BEE I"	"14808"
"14822"	"MONIQUE MARIE"	"14822"
"14834"	"GULF STAR"	"14834"
"14854"	"ELLA MARGARET"	"14854"
"14858"		"14858"
"14862"	"HILDA ANN"	"14862"
"14872"	"MICHELLE LEE"	"14872"
"14875"	"MAXINE"	"14875"
"14960"	"M B K"	"14960"
"150002"	"AMO"	"150002"
"150003"	"MISS SANDI D."	"150003"
"150004"	"1C1196"	"150004"
"150005"	"EDITH & DIANE"	"150005"
"150007"	"CANDICE K"	"150007"
"150008"	"EILEEN JAMES"	"150008"
"150010"	"DEAN L"	"150010"
"150011"	"DEN C MARTIN"	"150011"
"150012"	"BRANDY LEE"	"150012"
"150014"	"KATRENA LESLIE"	"150014"
"150016"	"G F H"	"150016"
"150017"	"JEREMIE D"	"150017"
