LENGTH,SumOfNUMBER_AT_LENGTH
0,1
0.5,1
1,3
1.5,1
2,4
2.5,29
3,73
3.5,139
4,286
4.5,501
5,117
5.5,130
6,246
6.5,268
7,493
7.5,648
8,984
8.5,1066
9,1471
9.5,1573
10,2212
10.5,2391
11,3457
11.5,3524
12,4004
12.5,4123
13,4051
13.5,3893
14,4228
14.5,4209
15,2616
15.5,2416
16,2265
16.5,1853
17,1701
17.5,1790
18,2477
18.5,2900
19,3547
19.5,4384
20,6523
20.5,7115
21,8529
21.5,9535
22,10359
22.5,11159
23,13200
23.5,14295
24,17531
24.5,21392
25,25177
25.5,30058
26,41224
26.5,52821
27,69742
27.5,83612
28,109823
28.5,122839
29,149072
29.5,151312
30,165447
30.5,142251
31,138056
31.5,111455
32,105479
32.5,84508
33,77123
33.5,62087
34,52838
34.5,42079
35,35493
35.5,26350
36,21358
36.5,14970
37,11291
37.5,7159
38,4714
38.5,2501
39,1429
39.5,656
40,348
40.5,101
41,45
41.5,8
42,6
42.5,5
43,1
45,1
45.5,1
48,2
49,2
