ID,dist_id,province_id,locality,code
1,1,1,ASPY BAY (1),11
2,1,1,BAY ST. LAWRENCE (2),11
3,1,1,BEAR COVE (3),11
4,1,1,BLACK HEAD (4),11
5,1,1,CAPE EGMONT (5),11
6,1,1,CAPE NORTH (6),11
7,1,1,CAPSTICK (7),11
8,1,1,DINGWALL (8),11
9,1,1,INGONISH (9),11
10,1,1,INGONISH BEACH (10),11
11,1,1,INGONISH FERRY (11),11
12,1,1,MEAT COVE (12),11
13,1,1,MIDDLE HEAD (13),11
14,1,1,NEIL'S HARBOUR (14),11
15,1,1,NEW HAVEN (15),11
16,1,1,NORTH BAY (16),11
17,1,1,NORTH INGONISH (17),11
18,1,1,ROCKY BAY (18),11
19,1,1,SMELT BROOK (19),11
20,1,1,SMOKY CAPE (20),11
21,1,1,SOUTH INGONISH (21),11
22,1,1,WHITE POINT (23),11
23,1,1,BLACK POINT (24),11
24,1,1,INGONISH CENTRE (25),11
25,1,1,SOUTH HARBOUR (26),11
26,1,1,SUGAR LOAF (27),11
27,1,1,NORTH HARBOUR (28),11
28,1,1,INGONISH HARBOUR (29),11
29,1,1,ST. MARGARET'S VILLAGE (30),11
30,1,1,KINGS POINT (31),11
31,1,1,O S SALES (88),11
32,2,1,CHETICAMP (1),12
33,2,1,BROAD COVE MARSH (2),12
34,2,1,CAP LE MOINE (3),12
35,2,1,CAPE ROUGE (4),12
36,2,1,CHIMNEY CORNER (5),12
37,2,1,DUNVEGAN (6),12
38,2,1,FRIAR'S HEAD (7),12
39,2,1,GRAND ETANG (8),12
40,2,1,LA POINTE (9),12
41,2,1,MARGAREE BEACH (10),12
42,2,1,MARGAREE FORKS (11),12
43,2,1,MARGAREE HARBOUR (12),12
44,2,1,MARGAREE ISLAND (13),12
45,2,1,PLEASANT BAY (14),12
46,2,1,POINT CROSS (15),12
47,2,1,ST.JOSEPH DU MOINE (16),12
48,2,1,ST.ROSE (17),12
49,2,1,TERRE NOIRE (18),12
50,2,1,WHALE COVE (19),12
51,2,1,SOUTH WEST MARGAREE (20),12
52,2,1,BELLE MARCHE (21),12
53,2,1,GILLISDALE (22),12
54,2,1,PLATEAU (23),12
55,2,1,PETIT ETANG (24),12
56,2,1,SCOTSVILLE (25),12
57,2,1,UPPER MARGAREE (26),12
58,2,1,BELLE COTE (27),12
59,2,1,MARGAREE VALLEY (28),12
60,2,1,CHETICAMP ISLAND (29),12
61,2,1,MARGAREE (30),12
62,2,1,FORDVIEW (31),12
63,3,1,BROAD COVE MARSH (1),13
64,3,1,COLINDALE (2),13
65,3,1,CRAIGMORE (3),13
66,3,1,CREIGNISH (4),13
67,3,1,FIDDLE HEAD (5),13
68,3,1,FINLAY POINT (6),13
69,3,1,HARBOUR VIEW (7),13
70,3,1,INVERNESS (8),13
71,3,1,INVERSIDE (9),13
72,3,1,JUDIQUE (10),13
73,3,1,JUDIQUE NORTH (11),13
74,3,1,JUDIQUE SOUTH (12),13
75,3,1,LITTLE JUDIQUE HARBOUR (13),13
