district_id,province_id,locality_list
1,1,"ASPY BAY (1), BAY ST. LAWRENCE (2), BEAR COVE (3), BLACK HEAD (4), CAPE EGMONT (5), CAPE NORTH (6), CAPSTICK (7), DINGWALL (8), INGONISH (9), INGONISH BEACH (10), INGONISH FERRY (11), MEAT COVE (12), MIDDLE HEAD (13), NEIL'S HARBOUR (14), NEW HAVEN (15), NORTH BAY (16), NORTH INGONISH (17), ROCKY BAY (18), SMELT BROOK (19), SMOKY CAPE (20), SOUTH INGONISH (21), WHITE POINT (23), BLACK POINT (24), INGONISH CENTRE (25), SOUTH HARBOUR (26), SUGAR LOAF (27), NORTH HARBOUR (28), INGONISH HARBOUR (29), ST. MARGARET'S VILLAGE (30), KINGS POINT (31), O S SALES (88)"
2,1,"CHETICAMP (1), BROAD COVE MARSH (2), CAP LE MOINE (3), CAPE ROUGE (4), CHIMNEY CORNER (5), DUNVEGAN (6), FRIAR'S HEAD (7), GRAND ETANG (8), LA POINTE (9), MARGAREE BEACH (10), MARGAREE FORKS (11), MARGAREE HARBOUR (12), MARGAREE ISLAND (13), PLEASANT BAY (14), POINT CROSS (15), ST.JOSEPH DU MOINE (16), ST.ROSE (17), TERRE NOIRE (18), WHALE COVE (19), SOUTH WEST MARGAREE (20), BELLE MARCHE (21), GILLISDALE (22), PLATEAU (23), PETIT ETANG (24), SCOTSVILLE (25), UPPER MARGAREE (26), BELLE COTE (27), MARGAREE VALLEY (28), CHETICAMP ISLAND (29), MARGAREE (30), FORDVIEW (31)"
3,1,"BROAD COVE MARSH (1), COLINDALE (2), CRAIGMORE (3), CREIGNISH (4), FIDDLE HEAD (5), FINLAY POINT (6), HARBOUR VIEW (7), INVERNESS (8), INVERSIDE (9), JUDIQUE (10), JUDIQUE NORTH (11), JUDIQUE SOUTH (12), LITTLE JUDIQUE HARBOUR (13), LITTLE JUDIQUE PONDS (14), LIVINGSTONE'S POND (15), LONG POINT (16), LOW POINT (17), MABOU (18), MABOU HARBOUR (19), MABOU MINES (20), MALAGAWATCH (21), MARBLE MOUNTAIN (22), MARYVALE (23), MURPHY'S POND (24), NORTH EAST MABOU (25), ORANGEDALE (26), PORT BAN (27), PORT HASTINGS (28), PORT HAWKESBURY (29), PORT HOOD (30), PORT HOOD ISLAND (31), RIVER DENYS (32), SIGHT POINT (33), TROY (34), WHYCOCOMAGH (35), WEST MABOU HARBOUR (36), VALLEY MILLS (37), BIG HARBOUR (38), JUDIQUE POND (39), BIG HARBOUR ISLAND (40), BAXTER'S COVE (41), ALBA (42), BANKS ROAD (43), IRON MINES (44), WEST BAY (45), BROAD COVE BANKS (46), ABERDEEN (47), MCKAY'S POINT (48), DEEPDALE (49), LITTLE HARBOUR (50), ROSS COVE (51)"
4,1,"BADDECK (1), BIG BRAS D'OR (2), BIRCH PLAINS (3), BRITON COVE (4), CAPE DAUPHIN (5), ENGLISHTOWN (6), FRENCH RIVER (7), GREAT BRAS D'OR (8), INDIAN BROOK (9), JERSEY COVE (10), LITTLE NARROWS (11), LITTLE RIVER (12), MUNROE BEACH (13), MUNROE POINT (14), NEW HARRIS (15), NEW HARRIS FORKS (16), NORTH RIVER CENTRE (17), NORTH SHORE (18), PATH END (19), PLASTER (20), RIVER BENNETT (21), ROSS FERRY (22), SCHOOL BAY (23), SKIR DHU (24), SOUTH COVE (25), SOUTH HAVEN (26), ST. ANDREW'S CHANNEL (27), ST. ANN'S (28), ST. ANN'S BAY (29), WASHABUCK (30), WRECK COVE (31), BUCKLAW (32), NORTH GUT (33), NEW CAMPBELLTON (34), KEMPT HEAD (35), LOWER WASHABUCK (36), ESTMERE (37), MORRISON COVE (38), IONA (39), NYANZA (40), RED POINT (41), BOULARDERIE (42), BIG HARBOUR (43), OTTAWA BROOK (44), TARBOT (45), SEAL ISLAND (46), GROVES POINT (47), MCKINNONS HARBOUR (48), O S SALES (88)"
6,1,"NORTH SYDNEY (1), ALDER POINT (2), BLACK POINT (4), BRAS D'OR (5), EAST BAY (6), ESKASONI (7), FLAT POINT (8), FLORENCE (9), GRAND NARROWS (10), LINGAN (11), LITTLE BRAS D'OR (12), LITTLE POND (13), LLOYD COVE (14), LOW POINT (15), MIDDLE POINT (16), MILL POND (17), NEW VICTORIA (18), NEW WATERFORD (19), POINT ACONI (20), SOUTH BAR (21), SYDNEY (22), SYDNEY HARBOUR (23), SYDNEY MINES (24), VICTORIA MINES (25), GEORGE'S RIVER (26), BALLS CREEK (27), LEITCHES CREEK (28), CHRISTMAS ISLAND (29), DOMINION (30), MILL CREEK (31), MIRA ROAD (32), PIPERS COVE (33), POINT EDWARD (34), SYDNEY RIVER (35), WESTMOUNT (36), BOISDALE (37), NORTH WEST ARM (38), MARION BRIDGE (39), CASTLE BAY (40), BARACHOIS HARBOUR (41), SHENACADIE POND (42), CRANBURY (44), BEAVER COVE (45), PRIME BROOK (46), COXHEATH (47), SYDNEY FORKS (48), DUTCH BROOK (49), BEN EOIN (50), O S SALES (88)"
7,1,"GLACE BAY (1), LOUISBOURG (2), BALEINE (3), BATESTON (4), BIG GLACE BAY (5), BIG LORRAINE (6), BRIDGEPORT (7), CAPE MORIEN (8), GABAROUSE (9), GABAROUSE BAY (10), KENSINGTON COVE (11), LITTLE LORRAINE (12), MAIN-A-DIEU (13), MIRA BAY (14), MORIEN BAY (16), PORT CALEDONIA (17), PORT MORIEN (18), ROUND ISLAND (19), SCATARI ISLAND (20), SCHOONER POND (21), WADDEN COVE (22), BIG POND (23), MIDDLE CAPE (24), DONKIN (25), HOMEVILLE (26), IRISH COVE (28), FALSE BAY (29), IRISH VALE (30), NEW ABERDEEN (31), MACKEIGANS POINT (33), DEEP COVE (34), RESERVE (43)"
8,1,"CAPELIN COVE (1), CHAPEL COVE (2), FOURCHU (3), GRAND GREVE (4), GRAND RIVER (5), HAY COVE (6), L'ARCHEVEQUE (7), L'ARDOISE (8), L'ARDOISE WEST (9), LITTLE HARBOUR (10), LOWER L'ARDOISE (11), POINT MICHAUD (12), RED HEAD (13), ROCKDALE (14), ST. ESPRIT (15), THREE ISLAND COVE (16), THREE ISLANDS (17), FRAMBOISE (19), LYNCH'S RIVER (20), SOLDIER'S COVE (21), JOHNSTOWN (22), FERGUSON LAKE (23), RED ISLAND (24), NORTH FOURCHU (25), LOCH LOMOND (26), JOHNSON HARBOUR (27), EVANS ISLAND (28), PRINGLES HARBOUR (29), GRACIEVILLE (30), MACNABS COVE (31), O S SALES (88)"
9,1,"PETIT DE GRAT (1), ARICHAT (2), BEAR ISLAND (3), BOUDREAUVILLE (4), CAPE AUGET (5), D'ESCOUSSE (6), EVANSTON (7), FORRESTALL POINT (8), FRENCH COVE (9), GRANDIQUE (10), GRAND RIVER (11), JANVRINS HARBOUR (12), LITTLE ANSE (13), LOUISDALE (14), LOWER POINT (15), MARTINIQUE (16), POINT TUPPER (17), POIRIERVILLE (18), PONDVILLE (19), PORT MALCOLM (20), PORT RICHMOND (21), PORT ROYAL (22), POULAMOND (23), RABBIT ISLAND (24), RIVER BOURGEOIS (25), ROCKY BAY (26), SAMPSON COVE (27), ST. PETERS (28), WEST ARICHAT (29), WEST BAY (30), DUNDEE (31), SAMSONVILLE (32), BLACK RIVER (33), CANNES (34), WHITESIDE (35), HAWKER (36), RIVER TILLARD (37), RIVER BOURGEOIS SOUTH (38), ST. GEORGE'S CHANNEL (39), ROBERTA (40), MACPHERSON'S FERRY (41), THE POINTS (42), GRANTVILLE (43), ROBBINS (44), CAPE GEORGE (45), CLEVELAND (46), LOWER RIVER (47), BULGARIA (48), CARTERS COVE (49), MORRISON HARBOUR (50), ST MARY'S (51)"
10,1,"BARRACHOIS (1), BAY HEAD (2), BRULE (3), BRULE POINT (4), TATAMAGOUCHE (5), WALDEGROVE (6), SAND POINT (7)"
11,1,"BAYVIEW (1), CARIBOU (2), LOUISDALE (3), MIDDLE RIVER (4), PICTOU (5), PICTOU ISLAND (6), RIVER JOHN (7), SAND POINT (8), THREE BROOKS (9), SYLVESTER (10), CAPE JOHN (11), MACDONALD'S COVE (12), TONEY RIVER (13), CARRIBOU ISLAND (14), SKINNER'S COVE (15), LOGAN'S POINT (16), BARKHOUSE (17), MEADOWVILLE (18), LYONS BROOK (19), SCOTSBURN (20), CARIBOU RIVER (21), WATERSIDE (22), MARSHVILLE (23), NARROW ENTRANCE (24), PICTOU ISLAND WEST (25), PICTOU HARBOUR (26), CARIBOU HARBOUR (28), OVER THE SIDE SALES (88)"
