name_eng,name_ind,abbrev,address,mailing_address,city,postal_code,province,phone,fax,dfo_contact_instructions,notes,key_species,former_name,website,council_quorum,next_election,election_term,new_coucil_effective_date,population_on_reserve,population_off_reserve,population_other_reserve,fin,processing_plant,Grouping
Ahousaht First Nation,,AFN,,General Delivery,Ahousaht,V0R1A0,10,"(250) 670-9563
",(250) 670-9696,,,,,https://www.ahousaht.ca/,,6/30/2021,,,,,,,,First Nation
A-Tlegay Fisheries Society & We Wai Kai Nation (Cape Mudge) ,,,1441A Old Island Hwy,,Campbell River,V9W 2E4,10,250-914-1890 ,250-914-1891,"8T100 Primary Contact
Kim Duncan
Administrator
kimduncan@shawcable.com",,,,http://www.a-tlegay.ca/,,1/29/2025,,,,,,,,First Nation
BC Metis Federation,,BCMF,300 – 3665 Kingsway,,Vancouver,V5R 5W2,10,604-638-7220,604-435-8181,"TMX CDCR primary contact:
Angel Fisher
CDCR Project Lead
a.fisher@bcmetis.com
cc Keith Henry
President
k.henry@BCMetis.com

Financial Contact
Betty Fisher
Board of Director - Treasurer
b.fisher@bcmetis.com



P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://bcmetis.com/,,,,,,,,,,First Nation
Central Coast Indigenous Resource Alliance (CCIRA),,CCIRA,2790 Vargo Road,,Campbell River,V9W 4X1,10,250-286-6484,,"8T100 Primary Contact
Jean-Philip Sargeant
Marine Response Coordinator
jean.sargeant.ccira@gmail.com
Vicki Sahanatien
Marine Director
marinedirector.ccira@gmail.com",,,,https://www.ccira.ca/,,,,,,,,,,First Nation
Council of Haida Nation,,CHN,,PO BOX 589,Old Masset,V0T 1M0 ,10,250-626-5252,250-626-5439,"8T100 Primary Contact
Judson Brown
Marine Planning Program - Program Manager
judson.brown@haidanation.com
Olivia Choi
Marine Awareness Information Analyst
olivia.choi@haidanation.com",,,,https://www.haidanation.ca/,,,,,,,,,,First Nation
Cowichan Tribes,,CT,5760 Allenby Rd,,Duncan,V9L 5J1,10,"(250)748-3196
 ",(250) 748-1233,"TMX CDCR primary contact:
Kim Lagimodiere
CDCR Liaison/SSI Coordinator
Kimberly.Lagimodiere@cowichantribes.com

Sarah Von der Weid
Research and Communications
svonderweid@cowichantribes.com

Financial Contact
Cameron Fulton
A\ Comptroller
Cameron.Fulton@cowichantribes.com

P4P0 rep: Ruby Bissett (ruby.bissett@canada.ca)
Please reach out to Ruby for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://cowichantribes.com/,,12/6/2021,,,,,,,,First Nation
Da'naxda'xw Nation,,DN,,PO BOX 330,Alert Bay,V0N 1A0,10,(250) 974-2703 ,(250) 974-2706,,,,,http://danaxdaxw.com/,,,,,,,,,,First Nation
Ditidaht First Nation,,DiFN,5001 Mission Rd,"PO BOX 340
",Port Alberni,V9Y 7M8,10,"250-745-3333
 ",250-745-3332,"TMX CDCR primary contact:
Paul Sieber
Natural Resource Mgr
psieber@ditidaht.ca
Eva Wilson is contact for finance
Administrator
ewilson@ditidaht.ca

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Laboie and Dana Lefebvre on all requests.
",,,,https://www.nitinaht.com/,,7/15/2023,,,,,,,,First Nation
Dzawada’enuxw First Nation,,DzFN,,General Delivery,Kingdom Inlet,V0N 2B0 ,10,(250) 974-3013 ,(250) 974-3005,,,,,https://www.kingcome.ca/,,8/10/2024,,,,,,,,First Nation
Ehattesaht First Nation,,EFN,11 Khenkous Pl,PO Box 59,Zeballos,V0P 2A0,10,"(250) 761-4155 
",(250) 761-4156,,,,,https://ehattesaht.com/,,9/18/2022,,,,,,,,First Nation
Esquimalt Nation,,EN,1189 Kosapsum Cres.,,Victoria,V9A 7K7,10,250-381-7861,,"TMX CDCR primary contacts:
Katie Hooper
Executive Director (PT MLO)
katie@esquimaltnation.ca
Chief Robert Thomas
Marine Liaison Officer
rob@esquimaltnation.ca
Maddy Coxford
Director of Operations
HR@esquimaltnation.ca
Matthew Coussens
Land Referrals (PT MLO)
lands@esquimaltnation.ca

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=644&lang=eng,,10/1/2023,,,,,,,,First Nation
Gitga’at First Nation,,GFN,445 Hayimiisaxaa Way,,Hartley Bay,V01A0V ,10,250-841-2500,250-841-2541 ,"8T100 Primary Contact
Roger Sterritt  
Manager-Emergency Response Team
rogersterritt@gitgaat.ca
Dan Cardinall 
Senior Advisor
dancardinall@shaw.ca
Chris Picard 
Science Director
chrispicard@gitgaat.ca ",,,,http://gitgaatnation.ca/,,5/20/2023,,,,,,,,First Nation
Gitxaala Nation,,GN,11 Ocean Drive,"PO Box 149
",Kitkatla,V0V 1C0 ,10,250-848-2238,250-848-2238,"8T100 Primary Contact
Bruce Watkinson
Fisheries Manager
watkinson@gitxaalanation.com",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=672&lang=eng,,4/16/2022,,,,,,,,First Nation
Gwa'Sala-Nakwaxda'xw Nations,,Gwanak,154 Tsulquate Reserve,PO BOX 998,Port Hardy,V0N 2P0 ,10,"250-949-8343 
",250-949-7402 ,"8T100 Primary Contact
Mark Kenny
Lands and Resource Manager
lro@gwanaknations.ca",,,,https://www.gwanaknations.ca/,,,,,,,,,,First Nation
Gwawa'enuk Tribe,,GT,,PO BOX 344,Port Mcneil,V0N 2R0 ,10,(250) 949-8732 ,,,,,,https://fnp-ppn.aadnc-aandc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=627&lang=eng,,,,,,,,,,First Nation
Haisla Nation,,HN,500 Gitksan Ave,PO Box 1101,Kitamaat Village,V0T 2B0,10,250-639-9361 ,250-632-2840,"8T100 Primary Contact
Mike Jacobs
Fisheries Manager
MJacobs@haisla.ca
Brenda Bouzane
Council
bbouzane@haisla.ca",,,,https://haisla.ca/,,6/9/2025,,,,,,,,First Nation
Halalt First Nation,,HaFN,7973 Chemainus Rd.,,Chemainus,V0R 1K5,10,250-246-4736,250-246-2330,"TMX CDCR primary contact:
Geoff Backman
Spills Response Coordinator
geoff.backman@halalt.org

Annie Cossey
Finance Manager
accounting@halalt.org

Signing Authority
Caroline Gladstone
Band Manager
manager@halalt.org

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://halalt.org/,,9/16/2023,,,,,,,,First Nation
Heiltsuk Nation,,HeN,226 Wabalisla St ,"PO Box 880
",Bella Bella,V0T 1Z0 ,10,250-957-2381,,"Bo Reid (Contact)
Executive Director
edirector@heiltsuk.ca

Chief Contact Information
Marilyn Slett
marilyn.slett@heiltsuk.ca
250-957-2381

Chief Assistant Contact Information
Eleanor
hr.manger@heiltsuk.ca
778- 213-8206",,,,http://www.heiltsuknation.ca/,,3/11/2025,,,,,,,,First Nation
Hesquiaht First Nation,,HeFN,,PO Box 2000,Tofino,V0R 2Z0,10,(250) 670-1101 ,(250) 670-1102,,,,,https://www.hesquiaht.ca/,,2/28/2024,,,,,,,,First Nation
Homalco First Nation,,HoFN,1218 Bute Crescent,,Campbell River,V9H 1G5 ,10,250-923-4979,250-923-4987,"8T100 Primary Contact
Alison Trenholm
Lands and Governance Director
alison.trenholm@homalco.com",,,,https://www.homalco.com/,,10/16/2024,,,,,,,,First Nation
Hupacasath First Nation,,HupFN,,PO Box 211,Port Alberni,V9Y 7M7,10,(250) 724-4041,(250) 724-1232,,,,,https://hupacasath.ca/,,,,,,,,,,First Nation
Huu-ay-aht First Nations,,HuuFN,3483 3RD AVE,,Port Alberni,V9Y 4E4 ,10,(250) 728-3414,(250) 728-1222,"CCG Contact:
Rita Johnson
Director of Lands and Natural Resources
rita.j@huuayaht.org",,,,https://huuayaht.org/,,6/17/2023,,,,,,,,First Nation
Hwlitsum First Nation,,HFN,2928 River Rd. W,,Ladner,V4K 3N2,10,604-940-0593 ,604-940-0798,"NOTE: NRCan P4PO emailed Chief Hornbrook a letter in response to his email to Kim Lavoie regarding access to TMX accommodations. At this time, CCG has no ongoing engagement with HFN - lead by NRCan P4PO

P4P0 rep: Christine Marques (christine.marques@canada.ca)
Please reach out to Christine for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.hwlitsum.ca/,,,,,,,,,,First Nation
Katzie First Nation,,KaFN,19700A Salish Rd.,,Pitt Meadows,V3Y 2G6,10,604-465-8961,604-465-5949,"CCG primary contact:
Kimberly Armour 
Referral Manager
kimberly@katzie.ca
cc Joshua Towle
Environmental Response manager
Joshua@katzie.ca
cc Josh Alexander
Emergency Manager
josh@katzie.ca

TMX CDCR primary contact:
Alli Giovanni
Land & Operations Referral Manager
landopsreferrals@katzie.ca
cc Mark Diffin
Referrals Consultant
Mark@katzie.ca
cc Kimberly Armour
Referrals Manager
kimberly@katzie.ca

Denis Vaillancourt
Finance Director
denis@katzie.ca


P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://labrc.com/first-nation/katzie/,,3/31/2022,,,,,,,,First Nation
Kitasoo Band/Xai'xais First Nation,,,,General Delivery,Klemtu,V0T 1L0 ,10,(250) 839-1255 ,(250) 839-1256,"CCG Contacts
Evan Loveless
Land/Marine Use Policy Advisor
EvanLoveless@kxsa.ca
Laurel Sleigh
Marine Planning Coordinator
laurelsleigh@kxsa.ca",,,,https://klemtu.com/kitasoo-band/,,7/13/2023,,,,,,,,First Nation
Kitselas First Nation,,FKFN,2225 Gitaus Road,,Terrace,V8G 0A9,10,250-635-5084,250-635-5335,"8T100 Primary Contact
Chris Apps
Director, Lands & Resources
LR.Director@kitselas.com
Cedar Welsh 
Manager, Land & Resources
LR.Manager@kitselas.com",,,,https://kitselas.com/,,,,,,,,,,First Nation
Kitsumkalum,,,,PO Box 544,Terrace,V8G 4B5,10,250-635-6177,250-635-4622,"8T100 Primary Contact
Rina Gemeinhardt
Consultations and Referrals 
R.Gemeinhardt@kitsumkalum.com",,,,https://kitsumkalum.com/,,3/7/2023,,,,,,,,First Nation
Klahoose First Nation,,KlFN,1790 Tork Road,"PO Box 9
",Squirrel Cove,V0P 1T0 ,10,250-935-6536 ,250-935-6997,"8T100 Primary Contact
Tina Wesley
Fisheries Officer 
tinawesley@klahoose.org
Kerry (Marion) McKellar
Administrator
mmckellar@klahoose.org",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=553&lang=eng,,7/20/2025,,,,,,,,First Nation
K'omox First Nation,,KoFN,3330 COMOX ROAD,,Courtenay,V9N 3P8,10,(250) 339-4545,(250) 339-7053,,,,,https://komoks.ca/,,1/8/2023,,,,,,,,First Nation
Kwakiutl Band Council,,KBC,99 Tsakis Way,PO BOX 1440,Port Hardy,V0N 2P0 ,10,250-949-6012 ,250-949-6066 ,"Financial Contact
Noramay Isaac 
Finance Manager/Accountant 
accountant@kwakiutl.bc.ca",,,,https://kwakiutl.bc.ca/,,,,,,,,,,First Nation
Kwiakah First Nation,,KwFN,,"PO BOX 437, Station A",Campbell River,V9W 5B6,10,250-923-1556,,"8T100 Primary Contact
Frank Voelker
Band Manager
frankvoelker@kwiakah.com",,,,http://kwiakah.com/,,,,,,,,,,First Nation
Kwikwasut'inuxw Haxwa'mis First Nation,,KHFN,1 Front St,PO Box 10,Alert Bay,V0N 1A0,10,(250) 974-3001 ,(250) 974-3036,,,,,https://khfn.ca/,,5/27/2023,,,,,,,,First Nation
Kwikwetlem First Nation,,KmFN,2-65 Colony Farm Rd.,,Coquitlam,V3C 5X9,10,604-540-0680,604-525-0772,"TMX CDCR primary contact:
Reaman Miller
Referrals
reaman@kwikwetlem.com
cc Kyle Robertson
Senior Regulatory Advisor
Robertson.Environmental@outlook.com

P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://kwikwetlem.com/,,4/29/2023,,,,,,,,First Nation
Kyuquot/Cheklesaht First Nation,Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nations ,KCFN,,General Delivery,Kyuquot,V0P 1J0,10,(250) 332-5259,(250) 332-5210,"Jeff Neilson
Director of Lands and Resources
jeffn@kcfirstnations.com

Financial Contact
Jane Chidgzey
janec@kcfirstnations.com
250-287-2223

Signing Authority
Cynthia Blackstone
CEO
cynthiab@kcfirstnations.com
250-332-5259",,,,https://kyuquotbc.ca/,,,,,,,,,,First Nation
Lake Cowichan,Ts’uubaa-Asatx ,LCFN,313B Deer Rd.,"PO Box 159
",Lake Cowichan,V0R 2G0,10,250-749-3301,250-749-4286,,,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=643&lang=eng,,,,,,,,,,First Nation
Lax Kw'alamms Band,,LKB,206 Shashaak St,,Lax Kw'alaams,V0V 1H0,10,250-625-3293,250-625-3246,"8T100 Primary Contact
Katherine Butts
Senior Fisheries Biologist
katherine_fisheries@laxband.com",,,,https://laxkwalaams.ca/,,11/23/2023,,,,,,,,First Nation
Lyackson First Nation,,LFN,7973A Chemainus Rd.,,Chemainus,V0R 1K5 ,10,250-246-5019,,"TMX CDCR email to:
Chief Richard Thomas 
chiefthomas@lyackson.bc.ca
***CC all other***

Financial Contact
Shannon Gammie
Director of Operations
directorofoperations@Lyackson.bc.ca
250-246-5019 (office) 
250-701-8089 (cell)


P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,http://lyackson.bc.ca/,,,,,,,,,,First Nation
Maa-nulth Treaty Society,,MTS,,,,,10,250-724-1802,,"TMX CDCR email:
Mark Stephens
CAO
cao@maanulth.ca
Anna Horel (Key contact for the MTS)
FNFC Committee
anna.e.horel@gmail.com
Kristy Pozniak (no one cc'd)
Legal Council
kpozniak@ratcliff.com

P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-a-z-listing/maa-nulth-first-nations,,,,,,,,,,First Nation
Malahat Nation,,MN,"110 Thunder Rd.
RR #4",,Mill Bay,V0R 2P4,10,250-743-3231,250-743-3251,"CCG primary contact:
Stephanie Spencer
CDCR Liaison
stephanie.spencer@malahatnation.com
cc Tristan Gale  
Director of Environmental Fisheries/Financial Contact
tristan.gale@malahatnation.com

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://malahatnation.com/page/2/,,6/12/2023,,,,,,,,First Nation
Mamalilikulla First Nation,,MamFN,1441-B 16TH AVENUE,,Campbell River,V9W 2E4,10,(250) 287-2955,(250) 287-4655,,,,,https://mamalilikulla.ca/,,4/30/2023,,,,,,,,First Nation
