id,title,org,sector,type,status,date1,date2,contact,contact_org,comment1,comment2,comment3
1000,Banc des Américains,Gesgapegiag,DRGÉ-DGO,Consultation,completed,7/7/1905,,Élaine Albert,,Rencontre,"Communauté consultée sur le projet de ZPM. L'intention réglementaire lui sera envoyée pour information. À la désignation, les communautés Mi'gmaq de la Gaspésie devront être intégrées dans la structure de gouvernance de la ZPM du Banc des Américains. Une lettre a été envoyée au MPO exprimant leur volonté de faire de la cogestion. Lettre du SMM disponible.",Lettre du SMM
1001,Banc des Américains,Gespeg,DRGÉ-DGO,Consultation,completed,7/7/1905,,Élaine Albert,,Rencontre,"Communauté consultée sur le projet de ZPM. L'intention réglementaire lui sera envoyée pour information. À la désignation, les communautés Mi'gmaq de la Gaspésie devront être intégrées dans la structure de gouvernance de la ZPM du Banc des Américains. Une lettre a été envoyée au MPO exprimant leur volonté de faire de la cogestion. Lettre du SMM disponible.",Lettre du SMM disponible sur demande
1002,Banc des Américains,Listuguj,DRGÉ-DGO,Consultation,completed,7/7/1905,,Élaine Albert,,Rencontre,"Communauté consultée sur le projet de ZPM. L'intention réglementaire lui sera envoyée pour information. À la désignation, les communautés Mi'gmaq de la Gaspésie devront être intégrées dans la structure de gouvernance de la ZPM du Banc des Américains. Une lettre a été envoyée au MPO exprimant leur volonté de faire de la cogestion. Lettre du SMM disponible.",Lettre du SMM
1003,Banc des Américains,Malécites de Viger,DRGÉ-DGO,Consultation,completed,7/7/1905,,Élaine Albert,,Rencontre,,
1004,Banc des Américains,Secrétariat Mi'gmawei Mawiomi,DRGÉ-DGO,Consultation,completed,7/7/1905,,Élaine Albert,,Rencontre,"Organisation consultée sur le projet de ZPM.L'intention réglementaire lui sera envoyée pour information. À la désignation, les communautés Mi'gmaq de la Gaspésie devront être intégrées dans la structure de gouvernance de la ZPM du Banc des Américains. Une lettre a été envoyée au MPO exprimant leur volonté de faire de la cogestion. Lettre",Lettre du SMM
1005,"Construction nouveau pont du St-Laurent (NPSL) , sécurité, fl St-Laurent, entre Montréal et Brossard",Kahnawà:ke,DRGÉ-PPPH,Consultation,active,3/23/2012,,Simon / Marion en son absence,"INFC, TC, MPO, ECCC",Commentaires écrits et rencontre,"1er mars 2017:
MCK has concerns about the mitigation measures for fish and fish habitat and compensation measures to be implemented. Disapointment with the conclusion about the Recreation Bay Restauration project which does not meet the compensation requirements. 

Lettre 4 mars 2019 à MPO:
Years of monitoring the existing fishway and two culverts incorporated in the west jetty demonstrate they are not functional. Monitoring protocol for these structures is inappropriate. No measures have been taken to correct deficiencies. Monitoring protocols were not provided to MCK. Situation is extremely problematic. fishway and culverts were presented as key mitigation measures. DFO should have intervened and required enhancements. MCK requires additional efforts by the proponent to enhance fish passage and monitor it trough the jetty. The Crown is required to ensure the project impacts to aboriginal fishing rights are appropriately mitigated with new and more effective measure prior to issuing any other approval. MCK must have an opportunity to review, comment and approve the required enhancements prior to any DFO authorization being granted. 

Courriel du 29 mars MCK à MPO:
Chiefs Montour and Perron were extremely dissatisfied with DFO’s lack of responsiveness regarding the necessity for project enhancements pertaining to the fish passageways. The Legal Services department has been instructed by Chiefs Montour and Perron to assess legal options, including the potential of filing an application for judicial review to have the authorization invalidated. The Chiefs have also indicated that they will be following up at a political level regarding this matter and to advise you that a complete response will be sent in the coming days. 

",
1006,"Construction ponts et ponceaux, amélioration rte 389, entre Fire Lake et Fermont (Km 478-564)",Matimekush - Lac John,DRGÉ-PPPH,Consultation,active,5/14/2012,,Marion,"ACÉE, MPO, INFC",Commentaires écrits et rencontre,"Commentaires d'oct. 2018 sur le RÉA:
Enjeu avec l'effet du projet sur les usages traditionnel, ouverture de territoire 
aux alloctones causé par la route. Conclusion de l'ÉE remise en question sur cet aspect. 

Rencontre du 15 nov. 2018: 
la NIMLJ a exigé 7 engagements de la part du promoteur (allant de l'interdiaction de la chasse et de la pêche alloctochtone au secteur de la riv. aux pékans, au pavage des ponts, au fait de réserver plus de 20% des emplois à la communauté, à l'obtention de l'étude archéologique, l'aménagement d'un bélvédère , de fournir d'interprétation, de recevoir une compensation financière si les engagements requis ne sont pas respectés). 

Liste de demandes du 28 nov. 2018:
La communauté a transmis 10 demandes pour la phase de construction de la route dont le fait de Consulter et impliquer les Innus de Uashat mak Mani-utenam dans les mesures d’atténuation et de compensation, notamment en ce qui concerne les cours d’eau qui seraient entravés par la route, ainsi que la perte d’habitat du poisson, l'interdiction aux non-innus de chasser trapper et pêcher, garantir des contrats de gré à gré, etc. ainsi que 7 demandes pour la phase d'exploitation de la route dont un moratoire sur l'octroi de baux de villégiature dans la région du projet, l'interdiction de trappe, chasse et pêches aux non-innus, garantir la participation des Innus d'Itum aux travaux de suivi-surveillance, etc.

",
1007,"Construction ponts et ponceaux, amélioration rte 389, entre Fire Lake et Fermont (Km 478-564)",Uashat mak Mani-Utenam,DRGÉ-PPPH,Consultation,active,5/14/2012,,Marion,"ACÉE, MPO, INFC",Commentaires écrits et rencontre,"Commentaires écrits reçus en oct. 2018 sur RÉA:
IUTM:
Consultations inadéquates :
-  « À moins d’obtenir le consentement des Innus UM, la réalisation du Projet violerait les droits constitutionnels des Innus UM, à savoir leur titre indien, leurs droits ancestraux et leurs droits issus de traités ».« le Canada a manqué à ses obligations constitutionnelles envers les Innus ».
-  projet divisé en 5 projets dont un seul fait l'objet d'une ÉE, empêche d'évaluer les impacts négatifs cumulatifs sur l’environnement et droits des Innus.  
Poisson et habitat : 
-  limite spatiale de l’ÉE fédérale inadéquate (aurait dû être le BV de la Moisie).
- manque de précisions sur les mesures d’atténuation et la compensation dans le RÉA.
- libre passage du poisson aurait dû être requis dans tous les cours d’eau au lieu de certains uniquement.
-  REA ne prévoit aucune mesure d’atténuation spécifique aux Innus pour les poissons, il endosse uniquement du promo. sans instaurer de restrictions de pêche aux travailleurs et aux futurs utilisateurs de la route. ITUM en désaccord avec la conclusion du REA voulant que le Projet n’aura pas d’effets importants sur le poisson et son habitat compte tenu des mesures d’atténuation.
Famille Grégoire:
- Projet de compensation d'HP à intégrer à la restauration de l'ancienne route. 
- Superficie des pertes d'habitat sous-estimeé.
- Analyser préalablement les travaux aux différentes traversées de cours d'eau. 

Rencontre du 14 nov. :
ITUM a exprimé divers enjeux dont, l’ouverture du territoire autochtone à la chasse et à la pêche allochtone, l’émission de nouveaux baux de villégiatures, la proportion d’autochtones employés sur le projet et surtout la volonté ferme des autochtones d’être entendus par les ministres provinciaux concernés (MTQ et MERN) sans quoi le chantier pourrait être perturbé. ",
1008,"Exploitation de spodumène, Mine North American Lithium, La Corne",Anishnabe du Lac Simon,DRGÉ-PPPH,Consultation,active,6/6/2012,,Marion,"ACÉE, MPO, BGGP",Commentaires écrits et rencontre,"Compensation habitat poisson: durant rencontre du 14 mars avec ACÉE, la PN a requis d'être consultée pour cibler le site de compensation 
Chair des poissons: souhait que les métaux soient échantillonnés chez la truite",
1009,"Exploitation de spodumène, Mine North American Lithium, La Corne",Conseil de la Première Nation Abitibiwinni (Pikogan),DRGÉ-PPPH,Consultation,active,6/6/2012,,Marion,"ACÉE, MPO, BGGP",Commentaires écrits et rencontre,"Impacts habitat poisson: après 4 mémoires déposés, le 20 mars 2018, dans lettre à l'ACÉE, PN indique qu'il demeure des incertitudes et demande le plan de surveillance du lac Lortie et les résultats des suivis du promo.
Processus d'ÉE féd.: a duré 6 ans alors que la mine était déjà en exploitation.",
