Acronym,Meaning,Source,Source (URL),Catgories/Tags,Contact,URL Link,URL Link (URL),Notes,,Rational for what is included in Acronym List,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,Area Aboriginal Advisors,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,Regional branches and divisions,,Grants and Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AABM ,Aggregate Abundance-Based Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,Regional committees related to salmon,,Government Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAROM,Aboriginal Aquatic Resource and Oceans Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,"Key National acroynms i.e. TBS, DM etc.",,External Committee/Board/Panel etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,Area-Based Aquaculture Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,Salmon related programs,,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACATS,Aboriginal Contribution Agreements Tracking System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,"Indigenous related programs, groups, initiatives",,DFO Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADGT,"Aquatic Diagnostics, Genomics, and Technology ","RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,"Key geographic areas i.e. North Coast, Strait of Georgia",,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFLP,Amplified Fragment Length Polymorphisms,Glossary of terms - Biotechnology & Genomics (Genetics),https://www.dfo-mpo.gc.ca/science/biotech-genom/more-plus/glossary-glossaire-eng.html,Environmental/Science Terminology,,,,,,Key external aggregate groups i.e. FNFC,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFS,Aboriginal Fisheries Strategy,Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,Indigenous,,,,,,Salmon related databases,,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFSAR,Aboriginal Fund for Species at Risk,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Grants and Contributions ,,Aboriginal Fund for Species at Risk: program overview - Canada.ca,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/aboriginal-fund-species-risk/program-overview.html,,,All acroynms listed in the PAC salmon Business Glossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC ,Area Harvest Committee,,,External Committee/Board/Panel etc.,,Commercial Salmon Advisory Board and Area Harvest Committee terms of reference | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/consultation/smon/csab-ccpcs/tor-man-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMS,Aboriginal Harvest Management System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHRF,Aquatic Habitat Restoration Fund ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Grants and Contributions ,,Aquatic Habitat Restoration Fund - Canada.ca,https://www.canada.ca/en/campaign/trans-mountain/what-is-tmx/the-decision/backgrounder11/aquatic-habitat-restoration-fund.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS,Aquatic Invasive Species,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,Aquaculture Management Division ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Aquaculture Management | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/fisheries-management/aquaculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,Area Office(s),"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Aboriginal Programs Division,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Indigenous Programs Division | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUIIS,Aquaculture Integrated Information System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDG,Associate Regional Director General,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,Allocation Transfer Program,,,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSRIF,British Columbia Salmon Restoration and Innovation Fund,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Grants and Contributions ,,British Columbia Salmon Restoration and Innovation Fund (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/fisheries-peches/initiatives/fish-fund-bc-fonds-peche-cb/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO,Bedford Institute of Oceanography,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Government Organization,,Bedford Institute of Oceanography (bio.gc.ca),https://www.bio.gc.ca/index-en.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,Biomass at Maximum Sustainable Yield,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&P,Conservation & Protection Branch,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Conservation and Protection | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/conservation-and-protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCG,Canadian Coast Guard ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Government Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
