Inventory_ID,Approved_By,Data_Asset_Name,Data_Asset_Steward,Data_Asset_Sorting_Category,Operational_Or_Analytical_Data,Data_Asset_Acronym,Data_Asset_Description,APM_ID,Non_Salmon_Data,Data_Asset_Status,Data_Asset_Format,Data_Type,Data_Asset_Location,Data_Asset_Trustee,Data_Asset_Custodian,Application_Data_Asset_Is_Associated_With,Application_Description,Technical_Documentation,Access_Point,Policy_Levers_Data_Asset_Supports,Key_Decisions,Impact_to_DFO_Data_Consumers,Decision_Supporting_Key_Products,Impact_on_Decision_Making,Uniqueness,Cost,Data_Asset_Size,Update_Frequency,Data_Standards,Metadata_Maturity,Data_Quality_Rating,Naming_Conventions,Security_Classification,Inbound_Data_Linkage,Outbound_Data_Linkage,Publication_Status,,,,,,,,,,,,,,,,,
1,,Fishery Operations System,"MacKenzie, Julia
Hamilton, Shelee (SDC)",1,,FOS,"The Fishery Operations System (FOS) is the Department of Fisheries and Oceans Canada’s (DFO) centralized Oracle database that holds commercial salmon fishery catch, effort and biological data. The FOS database was built in 2001 and continues to be the current repository for all data pertaining to DFO’s Pacific Region Commercial Salmon Logbook program.
The Commercial Salmon Logbook program was initiated in 1998 with fleet wide participation made mandatory during the 2001 season. The program requires all commercial salmon fishers to record their daily catch and effort information in a harvest logbook and to subsequently report it to DFO using a service provider within deadlines defined in the conditions of licence. A portion of the information collected from the logbook program contains fisher personal information and is therefore protected and un-releasable.
Fishery Managers use the fisher reported catch and effort, in addition to information collected from other sources such as overflights, to calculate in-season catch estimates.
NOTES: •All catch estimates are reported in pieces (numbers of fish). •Catch estimates include adults and jacks combined.
FOS integrates with the other main systems PLS and QMS. It is used by RM, C&P, Stock assessment, contractors, general public (via internet reports).
Published in FGP and Open Data Inventory ID ODI-2017-0533",523,Yes,Production,Oracle database,Structured,DFO Server,Ecosystems and Fisheries Management,Jason Parsley/ Fifi Esenam,"Fishery Operations System - FOS
1. Fishery notifications System - FOS_FNS APM 525
2. Salmon Module SQL scripts & calls - FOS_SM APM 534
3. Fishery Notice Module - FOS_FNM APM 531
4. Importer Module IMPORTER SPECS - FOS_IM APM 533
5. Web Services INCOMING EMAIL - FOS_WS APM 536","Same as db description.
1. Function of FOS to provide the public and industry with notification of fishery openings, closures and ammendments, and public health notices for PSP marine biotoxin closures. All previous notices are available online for public reference.
2. Module of the Fishery Operations System containing specific screens and code (PL/SQL) for salmon fishery business functions. Contains commercial, economic opportunity, and test fishery catch, effort and biodata
3. Jason Parsely says not part of FOS. Allows public to sign up to receive fishery notices by email .  Controls sending and storing Fishery notices. FOS FNS allows a notice to be built, the fishery and areas affected identified and then automatically determines which clients to send notices to via email.
4. Function or module of the Fishery Operations System for automated importing of remote transmitted data via email and interactive importing of data from flat files.
5. Related to FOS Importer, recieves external emails and inserts data into FOS.",Entitiy Relationship Diagram (ERD),"Internet Browser, Microsoft Edge (IE Mode only)

PROD-Internal
http://paccfprodin/fos2/

PROD-External
https://www-ops2.pac.dfo-mpo.gc.ca/fos2/

TEST-Internal
http://paccftestin/fos2/

TEST-External
https://fm-training.rhq.pac.dfo-mpo.gc.ca/fos2/",Harvest - Commercial,"FOS supports decisions on commercial opening and closings.

The data / products produced by FOS are used by Stock Assessment staff in their run-size prediction models. 

The data / products produced by FOS are used by fishery / resource managers to determine commercial fishing openings and closures",Infinite,"In-season and post-season estimates; Price Matched Log Books, Diversification Tables and exploitation rate analysis

Fisher reported catch based on the logbook program. Raw data is collected in-season via a call-centre. QA/QC'd analyzed data is collected and entered post-season directly from the fisher's logbooks. 

Commercial Salmon in-season estimates. Produced by fishery managers. Based primarily on the raw in-season fisher reported catch but takes other data sources into account as well such as overflight data and observer data. In-season estimates are entered and stored in FOS from 2005 to the present. 

Commercial Salmon post-season estimates. Produced by fishery managers post-season factoring many different data sources. Histrorical estimates from 1996-2004 are stored in FOS. 

Test Fishery salmon catch and bio data. Historical data held from 1955. Data shared with American colleagues as part of the Pacific Salmon Treaty",50 - 100,No,"10
We could recover commercial salmon harvest data back to about 2017. It would require staff going through each logbook and re-entering data manually. 

Prior to this paper logbooks were only held for 3 years and were then destroyed. Anything prior to 2017 would be permanently lost. ",">10
No idea. It's only text. No pictures or videos etc. Estimated less than 10GB",Real-time,Formal QA/QC standards and checks built into FOS,No,High,Yes,Protected B,"PADS,  NOLS
Licencing information used to come in thorugh PLS. Might be NOLS now not sure. Data comes in as a view. 
PAC HARV Fish slips data comes in thorugh PAC HARV","Salmon ITQ_Database - Commercial salmon catch is accessed by the ITQ Database. 
MRP -SYS - Commercial Salmon and Test Fishery data is pulled by the MRP group to share with U.S. colleagues as part of the Pacific Salmon Treaty
Albion Fraser Interior Test Fishery Dataset
",Yes; Open Data,,Yes,Yes,Production,Harvest - Indigenous,DFO Server,Yes,Real-time,Yes,Yes,Yes,Yes,Protected A,Structured,Low,Yes,Operational
2,,Aboriginal Harvest Management System ,"Yu, Faith (SDC)                      
 Rushton, Aleta",1,Operational,AHMS,Formerly known has the FSC Standalone Database. AHMS is a remote data collection system and is a component of the KREST platform.,,Yes,Production,SQLite converting to Postgres SQL,Structured,DFO Server,Fisheries and Harbour Management - Fisheries Resource Management,"Yu, Faith
Rushton, Aleta",Kept and Released Estimation Survey Tool - KREST,Same as db description,"Youtube tutorial videos & word docx. instructions, draft user manual (not finished), postgres install document ",AHMS must be installed onto machine,Harvest - Indigenous,"AHMS goes into KREST but AHMS data supports FSC allocation decisions, assessing catch and effort in certain areas, used in treaty negotiations.","Science (stock assessment), R&P, FM (fishery managers)","AFS aggreements, IFMP, MRP",50-80,No,Part of KREST,5 to 20,Ad-hoc,Yes,Yes,Medium,Yes,Protected B,N/A,KREST (send/receive),No,,No,No,Decommissioned,Harvest - Commercial,Cloud-Server,No,Hourly,No,No,No,No,Protected B,Semi-structured,Medium,No,Analytical
5,,Aquaculture Integrated Information System,"O'Grady, Chris
Paylor, Adrienne
Sandberg, Krista ",1,Operational,AQUIIS,"Aquaculture Management system The AQUIIS Project represented a full life cycle systems development, from strategy, business process analysis, gap analysis, enterprise data and technical architecture, target vision, to analysis, design, build, implementation and support of an application system to meet these requirements.
AQUIIS supports the complete process of licence application, review and assessment, approval, renewal and amendment, along with associated processes for data management and compliance assessment of industry reported data required under conditions of licence. AQUIIS also supports managment of dfo audits and associated data. https://www.t4bi.com/showcase/dfo-aquiis-aquaculture-integrated-information-system/",261,Yes,Production,Oracle Database with db linked documents stored on SharePoint,Structured,DFO Server,Fisheries and Harbour Management-Fisheries Resource Management,"Souliere, Allen / unknown (Tassel, Byrn)",Aquaculture Integrated Information System - AQUIIS,"Web application, .NET framework.","Physical Database Design, Developer Guide, System Architecture, Systems Operations, Various SOPs developed and maintained by user base",http://info.pac.dfo.ca/aquiis/#dashboard,Not defined,"Supports management of the aquaculture industry in BC, including monitoring key metrics of environmental performance and providing support for licence, policy and compliance decisions.",Aquaculture Management Division/Fisheries Management,Custom internal reports: often built of custom queries and specific questions. Reports generally support policy or licence conditions. AQUIS could be a source of information to determine increased/decreased interactions of between farmed/wild salmon. Analysis is done outside of AQUIS.,100,No,4,107,Real-time,Yes,No,Medium,Yes,Protected B,Not at this time,AQUIIS AAR,"Yes. Open Data, Regional Web pages, OBIS, GBIF (some datasets), CAPRI",,,,Indevelopment,Harvest - Recreational,Desktop/Shared Drive,,Daily,,,,,Protected C,Unstructured,High,,Both
9,,C&P Inspection Database ,"Demsky, Arthur ",1,Operational,INSPECTIONS,"Provides a common location for C&P inspection data accessible by C&P Officers in the Pacific and across Canada.
Web based application that is tied to the database",315,Yes,Production,Oracle database,Structured,DFO Server,Conservation and Protection - Fisheries and Harbour Management,"Wang, Hai / 
Fifi Esenam",C&P Inspection (INSPECTIONS) Internal Web Application,"Application is used by C&P staff for data entry, queries/search and repository for forms.","Nothing available to C&P staff, possibly Justin Mundy may have info.",paccfprodin.ent.dfo-mpo.gc.ca/inpections//,Harvest - Multiple,Supports enforcement of inspections authorities.,"C&P, NHQ audit, DFO National Fisheries Intelligence Service (NFIS)",None,>50,No,0.5,,,Yes,Yes,High,No,Protected B,,,No,,,,,Harvest - Multiple,Other,,Weekly,,,,,Confidential,,,,
11,,Catch and Release Estimation Survey Tool ,"Porter, Aswea  ",1,Both,CREST,"CREST (Catch and Release ESTimation) holds catch, effort, and biosample data for South Coast Area recreational fisheries. It also supports a suite of analytical tools and custom reports that facilitate South Coast programs and communication with the public. This database was initially developed in the early 1980s and has evolved since then to an Oracle database, consistent with regional standards.  It is managed by Science- South Coast Area.  Kris Hein has been the lone programmer and data manager for CREST for nearly 20 years, but moved to a different role in 2021.  Work is now underway to retire CREST and transition to the KREST data management system. ",1102 and 1103 (operates under OTOLITH ONLINE and OTOLITH LAB),Yes,Production,Oracle database,Structured,DFO Server,Science Branch - South Coast Stock Assessment,"Porter, Aswea 
Rechisky, Erin",Catch and Release Estimation Survey Tool - CREST,"1. Same as database component
2. Data entry application for creel and logbook data
3. Provides custom reporting and analytical tools",There are a suite of instruction manuals that target different aspects of the system.,windows executable,Harvest - Recreational,"CREST is critical to inform many recreational fishery management decisions. For example, catch explotation rates, forcasting etc.","Fisheries Management, stock assessement, groundfish","1. CREST Catch Estimate Report 
2. Explotation Rate Analysis
3. CREST Combined Catch Report by Stock and Age 
4. In-season and final bulletins ",Not replaceable,No,2,"10 
(select owner, sum(bytes)/1024/1024 Size_MB from dba_segments
where owner = 'OTOLITH_V1'
group  by owner;)",Daily,Yes,No,High,Yes,Unclassified,"MRP; FOS, PADS, OtoManager",MRP_SYS; Quota Management System (Quota Halibut catch),Recreational catch and effort in-season and annual bulletins.,,,,,Enhancement - Conservation,,,Monthly,,,,,Secret,,,,
13,,cBayesDB - Genetics Sock ID Library.,"Wallace, Colin",1,,,"Primarily a data holding, not an application. (Includes library of FORTRAN routines for upload and extraction of genetics data to the Genetics Database.)
Not published in FGP; is published in Open Data Inventory ID ODI-2017-0579
",,,,,,,Ecosystems and Ocean Science,,,,,,,,,,,,,,Annually,,,,,,,,,,,,,Enhancement - Harvest,,,Quarterly,,,,,Top Secret,,,,
16,,Coastal and Offshore Juvenile Salmon Survey,"Tabata, Amy
King, Jackie",1,Analytical,BCSI Database,"Basin and Coastal Scale Interactions Program database. Includes marine trawl data from high seas salmon and BCSI juvenile salmon surveys. Data from 1992 to present. Offshore and coastal BC area excluding the Strait of Georgia. 
The BCSI database used to be known as the High Seas Salmon Surveys which is a legacy program holding juvenile salmon surveys catch and biosample data from locations other than Strait of Georgia.",,Yes,Production,MS Access,Structured,Desktop/Shared Drive,Ecosystems and Ocean Science,"Tabata, Amy",n/a ,n/a ,no,"shared drive, restricted access ",Conservation & Stewardship - Multiple,"Supports long term planning amd scientific advice on salmon abundance and ecosystem assessments, ex. state of salmon ","Science, ESD, ADGT, IOS Oceanography","Data or technical reports for all cruises 
Primary publications ","n/a  Varies in how much it is used by different groups 10% some projects vs 100% of data reports, may not apply directly to decision making ",No,0.02,2,Monthly,Yes,No,Medium,Yes,Unclassified,no,no,"Yes, some data on OBIS, but plans to put more data on Open Dadta and OBIS",,,,,Enhancement - Multiple,,,bi-annually,,,,,Unclassified,,,,
18,,Departmental Violations System,"Melanson, Lise",1,,DVS,"NCR - National System - not Pacific region managed data asset
Case management and tracking system for fisheries enforcement (Fishery Officers main users)
R1294355 - Moved under product C&P APPS",450,,Production,Oracle database,,DFO Server,Aquatic Ecosystems-Ecosystems Management - NCR,"Lee, Patsy / ",Departmental Violations System - DVS,,,,Not defined,,,,,,,,,,,,,,,NETS,,,,,,Conservation & Stewardship - Habitat Monitoring and Assessment,,,Annually,,,,,,,,,
19,,DFO Species at Risk Salmon Restoration G&C Database ,,1,,,"Appears to not exist after talking with Chiu, Scott - Species at Risk Biologist and Henderson, Evan
Team Leader, SARP - Salmon Team.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conservation & Stewardship - Integrated Planning and Restoration,,,Ad-hoc,,,,,,,,,
21,,"Enhancement Planning and Assessment
","Galbraith, Ryan",1,Both,EPAD,"Used by the Salmonid Enhancement Program (SEP) for production planning and assessment of enhanced Pacific salmon. Production planning data is a key part of the Integrated Fisheries Management Plan (IFMP) and Pacific Aquaculture Regulations (PAR) licences for all DFO-operated, Community and Volunteer hatcheries in Pacific Region. DFO is obligated to report actual production and escapement data under the terms of the international Pacific Salmon Treaty (PST).",500,No,Production,Oracle database,Structured,DFO Server,PSSI,"Lynch, Cheryl","Enhancement Planning and Assessment - EPAD
",Same as db description,,,Enhancement - Multiple,"Enhanced salmon production for assessment, harvest and conservation with metrics to determine success and priority of each production line e.g. survival rates, harvest rates, hatchery contribution to catch/escapement. Salmon hatcheries in BC have as one of their production objectives, assessment for internatio+V96nal (e.g. PST, NPAFC), national (e.g. COSEWIC) and regional commitments (harvest management and salmon conservation) . SEP has been collecting, managing and reporting data internationally under PST agreement since 1985 in collaboration with stock assessment and MRP– originally in fortran, then DOS, then VB/MS Access","Science, stock assessment, resource management, PSSI","Escapement returns and estimates from tag data, enhanced contribution to harvest, enhanced contribution to escapement/rebuilding reporting for performance assessment (meeting regulations and guidelines), survival rates, catch distribution for each production stock/line/strategy",50-75,No,,,Daily,Yes,Yes,,Yes,,"ENPRO/E-PRO - MRP, NuSEDs, PADS, Otomanager, FOS","MRP, RMIS, COSEWIC, PST TC data models, PSF Salmon Explorer",PSF Salmon Explorer,,,,,Conservation & Stewardship - Multiple,,,,,,,,,,,,
22,,"Enhancement Program
","Lynch, Cheryl",1,Both,E-PRO,"A project to replace the ENPRO application. Cloud based web based application to track inventory, providing analysis of metrics to evaluate success or challenges in types of operations e.g. climate change/water temperature trends, and support adaptive management of hatchery production/enhancement operational methods and procedures",1398,No,Indevelopment,SQL Server,Structured,Cloud-Server,PSSI,"Lynch, Cheryl","Enhancement Program - E-PRO
",Same as db description,,,Enhancement - Multiple,,"Science, stock assessment, resource management, PSSI","Performance metrics such as production rates (relative to targets) mortality rates, disease screening, growth rates, feed usage, tag application/release, genomic analysis, adult/jvenile abundance, environmental trends, spawning selection/broodstock screening etc.","100 (need data, could use spreadsheets)",No,,,Daily,Yes,Yes,,Yes,,"ENPRO/E-PRO, MRP, NuSEDs, PADS, Otomanager, FOS","MRP/RMIS, COSEWIC",,,,,,Integration - Integration and Coordination,,,,,,,,,,,,
23,,"Enhancement Project
","Lynch, Cheryl
Galbraith, Ryan",1,Operational,ENPRO,"The Enhancement Project Database (Enpro) was developed to provide a consistent format for Salmonid Enhancement Program (SEP) hatcheries in Pacific Region to capture data on salmon adult escapement; egg takes; egg incubation; and juvenile rearing, marking and release. In addition to providing a detailed record of hatchery activities for the individual hatcheries, much of the data is summarized and input into the Enhancement Planning and Assessment Database (EPAD) by the SEP Planning and Assessment Unit (SPA). Providing this data is a requirement of a hatchery's Pacific Aquaculture Regulations Licence.",501,No,Production,MS Access,Structured,DFO Server,PSSI,"Lynch, Cheryl","Enhancement Project - ENPRO
",Same as db description,,,Enhancement - Multiple,"SEP systems integrated with MRP, FOS (salmon catch), NuSEDs (annual escapement estimates, conservation units, population designation, standard spatial reference), lab data such as scale aging, DNA genomic data","Science, stock assessment, resource management, PSSI","Operational decisions around meeting conditions of PAR licence, CFIA reporting,  AAR regulations, inventory/feed management, rearing densities, water flows/temperatures, growth rates, etc.",100,No,,,Daily,Yes,Yes,,Yes,,"ENPRO/E-PRO, MRP, NuSEDs, PADS, Otomanager, FOS","MRP/RMIS, COSEWIC",,,,,,Integration - Collaboration and Partnerships,,,,,,,,,,,,
