Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Aquaculture science,Genetics - Impacts of aquaculture escapes,Are the consequences of hybridization/introgression between farmed and wild conspecific populations reversible?,AQ-06,"What are the genetic effects of escaped  farmed Atlantic salmon on wild conspecifics? (Maritimes, NL)
What are the genetic effects of escaped cleaner fish (Lumpfish and Cunner) on wild conspecifics? (Maritimes, NL)
What are the genetic effects of oyster movements on wild conspecifics, particularly in relation to movements of oysters with evidence of MSX resistance, and movements of hatchery reared stocks? (Gulf and Maritimes)
Rainbow trout - Ploidy in the Bras d'Or: research on diploid vs. triploid rainbow trout in fish farms or other programs when introducing fish into the marine environment (rehabilitation) where there are resident populations nearby",Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Les conséquences de l’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques sont-elles réversibles?,AQ-06,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Aquaculture science,Genetics - Impacts of aquaculture escapes,Are there biologically relevant levels of hybridization/introgression between farmed and wild conspecific populations that are associated with specific consequences?,AQ-07,"What are the genetic effects of escaped  farmed Atlantic salmon on wild conspecifics? (Maritimes, NL)
What are the genetic effects of escaped cleaner fish (Lumpfish and Cunner) on wild conspecifics? (Maritimes, NL)
What are the genetic effects of oyster movements on wild conspecifics, particularly in relation to movements of oysters with evidence of MSX resistance, and movements of hatchery reared stocks? (Gulf and Maritimes)
Rainbow trout - Ploidy in the Bras d'Or: research on diploid vs. triploid rainbow trout in fish farms or other programs when introducing fish into the marine environment (rehabilitation) where there are resident populations nearby",Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Y a-t-il des niveaux biologiquement pertinents d’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques qui sont associés à des conséquences particulières?,AQ-07,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Assessing the potential ecosystem impacts of transgenic aquatic animals,BG-04,Evaluating ecosystem factors that may influence competitive ability of novel aquatic animals.  Comparison of reproductive ability of transgenic and wild-type fish reared in naturalized and  simple environments.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Évaluer les facteurs écosystémiques susceptibles d’influer sur la capacité concurrentielle des animaux aquatiques à caractères nouveaux. Comparer la capacité de reproduction des poissons transgéniques à celle des poissons sauvages élevés dans des environnements naturalisés et simples.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Assessing the potential ecosystem impacts of transgenic aquatic animals,BG-04,Evaluating potential ecosystem impacts resulting from unintentional releases of novel aquatic animals into various environments. Introduction of novel organisms into contained naturalized experimental environments.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Évaluer les répercussions possibles sur les écosystèmes résultant de lâchers involontaires d’animaux aquatiques à caractères nouveaux dans divers environnements. Introduire des organismes à caractères nouveaux dans des environnements expérimentaux confinés et naturalisés.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Assessing the potential ecosystem impacts of transgenic aquatic animals,BG-04,Generating knowledge to better understand the nature of ecosystems that may be most affected by novel aquatic animals.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Générer des connaissances pour mieux comprendre la nature des écosystèmes les plus susceptibles d’être touchés par les animaux aquatiques à caractères nouveaux.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Assessing the potential ecosystem impacts of transgenic aquatic animals,BG-04,Generating knowledge to enable the evaluation of potential ecosystem impacts resulting from intentional mass introductions of novel aquatic animals into various environments. Experiments continue examining phenotypes of novel and wild-type fish in mesocosms and ecostreams facilities at PSEC.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Générer des connaissances pour permettre l’évaluation des répercussions potentielles sur les écosystèmes résultant de l’introduction massive d’animaux aquatiques à caractères nouveaux dans divers environnements. Les expériences continuent d’examiner les phénotypes de poissons à caractères nouveaux et de poissons de type sauvage dans les mésocosmes et les écoruisseaux du Centre d’entreprise scientifique du Pacifique.
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ","Assessing, understanding, monitoring and reporting on aquatic species at risk",AEa-15,"Priority species, Monitoring, Research (SARA NCR) : For Species at Risk
Highest priority fish species in Ontario: Redside Dace, Silver Shiner, Pugnose Minnow, Black Redhorse, and Gravel Chub (Thames River). 
Highest priority mussel species in Ontario are: Three-horned Wartyback, Fawnsfoot,  Lilliput, Hickorynut, Snuffbox, Northern Riffleshell, Round Hickorynut, and Rayed Bean. 
Highest priority species outside Ontario are:  Westslope Cutthroat Trout (SK-Nelson), Bull Trout (SK-Nelson), Rainbow Trout (Athabasca), and Lake Sturgeon (DU1, SK-Nelson rivers).  
Arctic species: Cumberland Sound Beluga, Dolly Varden",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluation, compréhension et surveillance des espèces aquatiques en péril et production de rapports connexes",AEa-15,"Espèces prioritaires, surveillance et recherche: pour les espèces en péril.
Espèces de poissons hautement prioritaires en Ontario : méné long, méné miroir, petit-bec, chevalier noir et gravelier (rivière Thames). 
Espèces de moules hautement prioritaires en Ontario : obliquaire à trois cornes, troncille pied-de-faon, toxolasme nain, obovarie olivâtre, épioblasme tricorne, dysnomie ventrue jaune, obovarie ronde et villeuse haricot. 
Espèces hautement prioritaires à l’extérieur de l’Ontario : truite fardée versant de l’ouest (Sask. – Nelson), omble à tête plate (Sask. – Nelson), truite arc-en-ciel (Athabasca) et esturgeon jaune (UD1, rivière Nelson – Sask.).  
Espèces de l’Arctique : béluga de la baie Cumberland, crabe à pois.
"
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ","Assessing, understanding, monitoring and reporting on aquatic species at risk",AEa-15,"Enhancement science and assessment to support emerging species, and stocks of interest in support of species at risk
",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluation, compréhension et surveillance des espèces aquatiques en péril et production de rapports connexes",AEa-15,"Amélioration des activités scientifiques et d’évaluation visant à appuyer des espèces émergentes et stocks d’intérêt à l’appui d’espèces en péril.

"
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ","Assessing, understanding, monitoring and reporting on aquatic species at risk",AEa-15,"Determine a review process to assess the scientific merit, safety, and cumulative impacts for multiple licenses, permits, and authorizations for targeted species:
research on how to best assess cumulative impacts of multiple applications for licenses/permits/authorizations ",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluer, comprendre, surveiller et rendre compte des espèces aquatiques en péril",AEa-15,"Déterminer un processus d’examen visant à évaluer le mérite scientifique, la sécurité et les répercussions cumulatives de licences, permis et autorisations multiples pour des espèces ciblées.
Recherche sur la meilleure facon d'évaluer les répercussions cumulatives de multiples demandes de licences/permis/autorisations.
"
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ",Baseline science to enhance understanding of ecological relationships and roles of marine mammals and their prey,AEa-14,"Yearly diet assessment of cetaceans 
",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",La science de base pour améliorer la compréhension des relations écologiques et des rôles des mammifères marins et de leurs proies,AEa-14,Évaluation annuelle du régime alimentaire des cétacés 
