Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation des tendances historiques liées à la prévalence des pathogènes et des maladies dans les piscicultures existantes, à l’aide de données sur la santé des poissons venant de piscicultures et de vérifications.",AQ-01,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation des taux d’élimination des pathogènes prioritaires, et de leur survie et de leur infectivité dans le milieu marin pour éclairer les évaluations des risques, favoriser la connectivité potentielle entre les sites piscicoles et appuyer les décisions relatives à l’emplacement et à la densité de stockage.",AQ-02,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?
"
Science de l'aquaculture,Santé des poissons d'aquaculture,Caractérisation de l’importance de l’exposition passée à des pathogènes sur la réponse immunologique et estimations des résultats des maladies pour appuyer l’évaluation du risque pour les populations sauvages.,AQ-03,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Science de l'aquaculture,Santé des poissons d'aquaculture,Caractérisation de la dose infectieuse d’agents pathogènes prioritaires chez les espèces d’élevage et certaines espèces sauvages pour éclairer l’évaluation des risques et appuyer les décisions relatives à l’emplacement.  ,AQ-04,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation de la prévalence des infections uniques et mixtes et des maladies dans les populations sauvages (pathogènes causant des maladies chez les poissons d’élevage et les mollusques et crustacés), pour appuyer l’évaluation des risques de maladies dans les piscicultures et le risque de transfert de pathogènes.",AQ-05,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans l’élevage du saumon de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada.
MSX dans la région du Golfe.
Dans la région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Les conséquences de l’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques sont-elles réversibles?,AQ-06,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Y a-t-il des niveaux biologiquement pertinents d’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques qui sont associés à des conséquences particulières?,AQ-07,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Élaboration et validation d’outils génétiques et d’approches analytiques pour détecter les interactions génétiques indirectes au cours des périodes écologiques dans les populations sauvages; comment les changements peuvent être attribués aux impacts génétiques indirects de l’aquaculture par rapport à d’autres facteurs,AQ-08,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Quelles sont les conséquences de l’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques?,AQ-09,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
Science de l'aquaculture,Génétique - Impacts des évasions aquacoles,Quel est le niveau actuel d’hybridation/introgression entre les populations d’élevage et les populations sauvages conspécifiques?,AQ-10,"Quels sont les effets génétiques des saumons atlantiques d’élevage échappés sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des poissons nettoyeurs échappés (grosses poules de mer et tanches-tautogues) sur les espèces sauvages conspécifiques? (Maritimes, Terre-Neuve-et-Labrador)
Quels sont les effets génétiques des déplacements des huîtres sur les espèces sauvages conspécifiques, particulièrement en ce qui concerne les déplacements d’huîtres présentant des signes de résistance à MSX, et les déplacements des stocks d’élevage de couvoirs? (Golfe et Maritimes)
Truite arc-en-ciel – Ploïdie dans le Bras d’Or : recherche sur l’utilisation de truites arc-en-ciel diploïdes ou triploïdes dans les fermes piscicoles ou d’autres programmes pour l’introduction de poissons dans le milieu marin (réadaptation) là où il y a des populations résidentes à proximité?"
