Acronym,Meaning,Source,Catgories/Tags,Contact,URL Link,Notes,,Rational for what is included in Acronym List,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,Area Aboriginal Advisors,"RRAP, Reconciliation Action Plan List of Acronyms ",Indigenous,,,,,Regional branches and divisions,,Grants and Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AABM ,Aggregate Abundance-Based Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",Environmental/Science Terminology,,,,,Regional committees related to salmon,,Government Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAROM,Aboriginal Aquatic Resource and Oceans Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",Indigenous,,,,,"Key National acroynms i.e. TBS, DM etc.",,External Committee/Board/Panel etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,Area-Based Aquaculture Management ,"RRAP, Reconciliation Action Plan List of Acronyms ",Environmental/Science Terminology,,,,,Salmon related programs,,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACATS,Aboriginal Contribution Agreements Tracking System,Pacific Region Data Inventory ,Pacific Region Database,,,,,"Indigenous related programs, groups, initiatives",,DFO Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADGT,"Aquatic Diagnostics, Genomics, and Technology ","RRAP, Reconciliation Action Plan List of Acronyms ",Environmental/Science Terminology,,,,,"Key geographic areas i.e. North Coast, Strait of Georgia",,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFLP,Amplified Fragment Length Polymorphisms,Glossary of terms - Biotechnology & Genomics (Genetics),Environmental/Science Terminology,,,,,Key external aggregate groups i.e. FNFC,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFS,Aboriginal Fisheries Strategy,Pacific Salmon - Glossary,Indigenous,,,,,Salmon related databases,,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFSAR,Aboriginal Fund for Species at Risk,"RRAP, Reconciliation Action Plan List of Acronyms ",Grants and Contributions ,,Aboriginal Fund for Species at Risk: program overview - Canada.ca,,,All acroynms listed in the PAC salmon Business Glossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHC ,Area Harvest Committee,,External Committee/Board/Panel etc.,,Commercial Salmon Advisory Board and Area Harvest Committee terms of reference | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
