Geographic Scope,VDC
Arctic Ocean,"https://www.google.com/maps/place/Arctic+Ocean/@68.4031877,-88.2910974,3.85z/data=!4m5!3m4!1s0x4e818ae7b7b9dc55:0x73f923b8957d071e!8m2!3d65.2481624!4d-60.4620977"
Baffin Island and northern Labrador,"https://www.google.com/maps/place/Arctic+Ocean/@68.4031877,-88.2910974,3.85z/data=!4m5!3m4!1s0x4e818ae7b7b9dc55:0x73f923b8957d071e!8m2!3d65.2481624!4d-60.4620977"
Cabot Strait,"https://www.google.com/maps/place/Cabot+Strait/@46.9055495,-60.7434893,7.92z/data=!4m5!3m4!1s0x4b65d67c21d07ddf:0x6f78e91266d1ccd2!8m2!3d47.233333!4d-59.716667"
continental shelf off the MidAtlantic coast of the USA,"https://www.google.com/maps/@42.9027699,-70.0100582,6.67z"
eastern Arctic,"https://www.google.com/maps/place/Arctic+Ocean/@68.4031877,-88.2910974,3.85z/data=!4m5!3m4!1s0x4e818ae7b7b9dc55:0x73f923b8957d071e!8m2!3d65.2481624!4d-60.4620977"
Global,map of the world
lakes in the upper Petite Rivière watershed in southwest Nova Scotia,"https://www.google.com/maps/search/Petite+Rivi%C3%A8re+watershed/@44.231039,-64.4592299,14z/data=!3m1!4b1"
"Mid-Atlantic Bight, Georges Bank, Browns Bank, German Bank, Sable Island Bank, southern Gulf stock, St. Pierre Bank ","https://www.google.com/maps/@42.9027699,-70.0100582,6.67z"
Minas Basin,"https://www.google.com/maps/place/Minas+Basin/@45.1852799,-64.5465243,9.74z/data=!4m5!3m4!1s0x4b58e67e190c75d7:0xe51843fcd122e682!8m2!3d45.2736002!4d-64.1812079"
New Brunswick,"https://www.google.com/maps/place/NB/@46.3094083,-67.7034843,7z/data=!4m5!3m4!1s0x4ca3fdd032350ecd:0xe66dc95a026805cc!8m2!3d46.5653163!4d-66.4619164"
northeastern estuaries of New Brunswick,"https://www.google.com/maps/place/Musquash+Estuary/@45.155798,-66.3003743,9.96z/data=!4m5!3m4!1s0x4ca634fa2493ad3f:0x5469e671fa650069!8m2!3d45.183474!4d-66.2427763"
Pacific Coast,"https://www.google.com/maps/place/British+Columbia+Coast,+BC/@51.7179834,-136.4454995,5z/data=!3m1!4b1!4m5!3m4!1s0x546d850310b2f899:0xd858b7905de53de4!8m2!3d49.282645!4d-123.1205718"
Saint Lawrence Estuary and Gulf,"https://www.google.com/maps/place/Gulf+of+St+Lawrence/@49.8815868,-64.0479973,6z/data=!4m5!3m4!1s0x4b62ce52010fe6cd:0xdccc18a0af21277b!8m2!3d48.9223503!4d-59.661452"
Salmon DUs,pending
Southern Newfoundland,"https://www.google.com/maps/search/southern+newfoundland/@47.4250227,-57.6669261,7.22z"
southern Gulf of St. Lawrence,"https://www.google.com/maps/place/Gulf+of+St+Lawrence/@49.8815868,-64.0479973,6z/data=!4m5!3m4!1s0x4b62ce52010fe6cd:0xdccc18a0af21277b!8m2!3d48.9223503!4d-59.661452"
