Name, MinX, MaxX, MinY, MaxY
FLAT ISLANDS, -66.019, -65.972, 43.457, 43.523
BROWNS BANK, -66.44, -65.609, 42.336, 42.888
BANQUEREAU BANK, -60.13, -57.249, 43.897, 45.131
HAY ISLAND, -59.703, -59.668, 46.008, 46.032
SABLE ISLAND, -60.16, -59.657, 43.879, 44.046
SABLE ISLAND BANK, -62.204, -59.025, 42.962, 44.444
ST. PIERRE BANK, -57.502, -55.206, 44.824, 47.263
GRAND BANK, -54.611, -47.752, 42.451, 48.054
SOUTHERN GRAND BANKS, -54.623, -48.859, 42.445, 46.21
EASTERN SCOTIAN SHELF, -63.506, -56.939, 42.741, 47.222
WESTERN SCOTIAN SHELF BIOREGION, -67.497, -63.324, 41.845, 44.435
SOUTHWEST SCOTIAN SHELF, -67.763, -65.621, 42.279, 44.099
MID-ATLANTIC BIGHT, -75.912, -68.743, 35.068, 41.705
QUODDY REGION, -67.123, -66.853, 44.732, 45.085
OFFSHORE BANKS, -66.76, -56.979, 41.84, 46.245
SAINT LAWRENCE ESTUARY, -72.871, -67.075, 46.074, 49.389
GULF, -67.311, -60.038, 45.66, 50.446
CONTINENTAL SHELF(US MIDATLANTIC COAST), -81.373, -68.659, 30.013, 41.831
TRINIDAD, -61.952, -60.37, 9.949, 11.433
CANADIAN ATLANTIC, -67.756, -47.804, 39.959, 60.922
ARCTIC, -129.253, -56.918, 50.429, 84.812
SOUTHERN GULF OF ST. LAWRENCE, -66.214, -60.263, 45.641, 48.845
LABRADOR, -64.698, -55.161, 50.071, 60.508
PACIFIC, -179.671, -69.442, -53.393, 58.644
BAFFIN ISLAND, -90.289, -60.249, 60.946, 74.144
LAKES IN THE UPPER PETITE RIVIÈRE WATERSHED, -64.664, -64.52, 44.229, 44.368
NORTHEASTERN ESTUARIES OF NEW BRUNSWICK, -66.899, -64.228, 46.598, 48.196
NORTHERN LABRADOR, -64.743, -58.737, 54.536, 60.563
NFLD, -59.6, -51.7, 46.4, 51.786
