Region,Marker ,Jour,Mois,Année,Plongeur,Heading,Side,Site,Width (m),Transect,section,Depth_(ft),LC_(mm),sexe,Sa,Va,Du,Al,Gr,Co,Ca,Comments
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,19,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,28,m,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,22,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,23,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,21,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,11,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,15,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,18,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,10,i,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,38,f,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,21,f,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,1,18,26,f,0,0,0,0,1,0,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,59,m,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,20,m,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,26,m,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,10,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,7,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,10,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,15,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,16,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,~25,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,17,i,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,2,18,40,f,0.5,0,0,0,0,0.5,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,3,18,20,m,0,0,0,0,0,1,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
CG,,11,6,2019,MOuellet,South,Right,CG,1,1,3,18,~25,i,0,0,0,0,0,1,0,~1.25 m strip width - first time trying to do 1 m (away from line) and overestimated. Corrected later on and future 1 m done along line. 
