agreement_number,year,annual_agreement_cost,annual_project_cost
AFS2019-MLT-1913-0-A2,2019,"$71,635.00","$40,000.00"
AFS2019-MLT-1913-0-A2,2020,"$71,635.00","$40,000.00"
AFS2019-MLT-1913-0-A2,2021,"$71,635.00","$40,000.00"
AFS2019-MLT-1913-0-A3,2019,"$71,635.00","$3,635.00"
AFS2019-MLT-1913-0-A3,2020,"$71,635.00","$3,635.00"
AFS2019-MLT-1913-0-A3,2021,"$71,635.00","$3,635.00"
AFS2019-MLT-1913-0-B1,2019,"$71,635.00","$15,000.00"
AFS2019-MLT-1913-0-B1,2020,"$71,635.00","$15,000.00"
AFS2019-MLT-1913-0-B1,2021,"$71,635.00","$15,000.00"
AFS2019-MLT-1913-2-A6,2019,"$71,635.00","$11,900.00"
AFS2019-MLT-1913-2-A7,2019,"$71,635.00","$75,600.00"
AFS2019-MLT-1913-3-A4,2019,"$229,135.00",
AFS2019-MLT-1913-3-A4,2020,"$229,135.00","$27,210.00"
AFS2019-MLT-1913-3-A4,2021,"$229,135.00",
AFS2019-MLT-1913-3-A5,2019,"$229,135.00","$35,000.00"
AFS2019-MLT-1913-3-A5,2020,"$229,135.00",
AFS2019-MLT-1913-3-A5,2021,"$229,135.00",
AFS2019-MLT-1913-4-A6,2019,"$229,135.00",
AFS2019-MLT-1913-4-A6,2020,"$145,426.00","$11,581.00"
AFS2019-MLT-1913-4-A6,2021,"$71,635.00",
AFS2019-MLT-1913-6-A8,2019,"$229,135.00",
AFS2019-MLT-1913-6-A8,2020,"$177,271.00","$9,345.00"
AFS2019-MLT-1913-6-A8,2021,"$71,635.00",
AFS2019-MLT-1913-1-A4,2019,"$141,535.00","$35,000.00"
AFS2019-MLT-1913-1-A4,2020,"$141,535.00",
AFS2019-MLT-1913-1-A4,2021,"$141,535.00",
AFS2021-MLT-2111-0-A2,2021,,"$47,359.00"
AFS2021-MLT-2111-0-A2,2022,,"$47,359.00"
AFS2021-MLT-2111-0-B1,2021,,"$15,000.00"
AFS2021-MLT-2111-0-B1,2022,,"$15,000.00"
AFS2021-MLT-2117-0-A2,2020,,"$3,500.00"
AFS2021-MLT-2117-0-A2,2021,"$50,000.00",
AFS2021-MLT-2117-0-A2,2022,"$50,000.00",
AFS2021-MLT-2117-0-B1,2020,,"$8,000.00"
AFS2021-MLT-2117-0-B1,2021,"$50,000.00",
AFS2021-MLT-2117-0-B1,2022,"$50,000.00",
AFS2019-MLT-1922-1-A2,2019,"$127,400.00",
AFS2019-MLT-1922-1-A2,2020,"$127,400.00","$20,000.00"
AFS2019-MLT-1922-1-A2,2021,"$127,400.00",
AFS2019-MLT-1922-1-A2,2022,"$127,400.00",
AFS2019-MLT-1922-1-A2,2023,"$127,400.00",
AFS2019-MLT-1922-1-A3,2019,"$127,400.00",
AFS2019-MLT-1922-1-A3,2020,"$127,400.00","$10,095.00"
AFS2019-MLT-1922-1-A3,2021,"$127,400.00",
AFS2019-MLT-1922-1-A3,2022,"$127,400.00",
AFS2019-MLT-1922-1-A3,2023,"$127,400.00",
AFS2019-MLT-1922-1-A5,2019,"$127,400.00",
AFS2019-MLT-1922-1-A5,2020,"$127,400.00","$6,000.00"
AFS2019-MLT-1922-1-A5,2021,"$127,400.00",
AFS2019-MLT-1922-1-A5,2022,"$127,400.00",
AFS2019-MLT-1922-1-A5,2023,"$127,400.00",
AFS2019-MLT-1922-1-A6,2019,"$127,400.00",
AFS2019-MLT-1922-1-A6,2020,"$127,400.00","$3,000.00"
AFS2019-MLT-1922-1-A6,2021,"$127,400.00",
AFS2019-MLT-1922-1-A6,2022,"$127,400.00",
AFS2019-MLT-1922-1-A6,2023,"$127,400.00",
AFS2019-MLT-1922-1-A7,2019,"$127,400.00",
AFS2019-MLT-1922-1-A7,2020,"$127,400.00","$9,897.00"
AFS2019-MLT-1922-1-A7,2021,"$127,400.00",
AFS2019-MLT-1922-1-A7,2022,"$127,400.00",
AFS2019-MLT-1922-1-A7,2023,"$127,400.00",
AFS2019-MLT-1922-1-A8,2019,"$127,400.00",
AFS2019-MLT-1922-1-A8,2020,"$127,400.00","$43,099.00"
AFS2019-MLT-1922-1-A8,2021,"$127,400.00",
AFS2019-MLT-1922-1-A8,2022,"$127,400.00",
AFS2019-MLT-1922-1-A8,2023,"$127,400.00",
AFS2019-MLT-1922-1-A9,2019,"$127,400.00",
AFS2019-MLT-1922-1-A9,2020,"$127,400.00","$50,000.00"
AFS2019-MLT-1922-1-A9,2021,"$127,400.00",
AFS2019-MLT-1922-1-A9,2022,"$127,400.00",
AFS2019-MLT-1922-1-A9,2023,"$127,400.00",
AFS2019-MLT-1922-2-A2,2019,"$127,400.00",
AFS2019-MLT-1922-2-A2,2020,"$127,400.00","$25,000.00"
AFS2019-MLT-1922-2-A2,2021,"$127,400.00",
AFS2019-MLT-1922-2-A2,2022,"$127,400.00",
AFS2019-MLT-1922-2-A2,2023,"$127,400.00",
AFS2019-MLT-1922-3-A2,2019,"$127,400.00",
AFS2019-MLT-1922-3-A2,2020,"$127,400.00","$42,680.00"
AFS2019-MLT-1922-3-A2,2021,"$127,400.00",
AFS2019-MLT-1922-3-A2,2022,"$127,400.00",
AFS2019-MLT-1922-3-A2,2023,"$127,400.00",
AFS2019-MLT-1922-3-B1,2019,"$289,371.00",
AFS2019-MLT-1922-3-B1,2020,"$152,400.00","$9,000.00"
AFS2019-MLT-1922-3-B1,2021,"$170,080.00",
AFS2019-MLT-1922-3-B1,2022,"$127,400.00",
AFS2019-MLT-1922-3-B1,2023,"$127,400.00",
AFS2020-MLT-2023-0-A2,2020,"$633,479.00","$77,785.00"
AFS2020-MLT-2023-0-A2,2021,"$633,479.00",
AFS2020-MLT-2023-0-A2,2022,"$633,479.00",
AFS2020-MLT-2023-0-A3,2020,"$633,479.00","$18,813.46"
AFS2020-MLT-2023-0-A3,2021,"$633,479.00",
AFS2020-MLT-2023-0-A3,2022,"$633,479.00",
AFS2020-MLT-2023-0-A4,2020,"$633,479.00","$10,035.83"
AFS2020-MLT-2023-0-A4,2021,"$633,479.00",
AFS2020-MLT-2023-0-A4,2022,"$633,479.00",
AFS2020-MLT-2023-0-A5,2020,"$633,479.00","$55,632.32"
AFS2020-MLT-2023-0-A5,2021,"$633,479.00",
AFS2020-MLT-2023-0-A5,2022,"$633,479.00",
AFS2020-MLT-2023-0-A6,2020,"$633,479.00","$33,838.33"
AFS2020-MLT-2023-0-A6,2021,"$633,479.00",
AFS2020-MLT-2023-0-A6,2022,"$633,479.00",
AFS2020-MLT-2023-0-A7,2020,"$633,479.00","$13,704.13"
