Agreement Database,Funding Sources,Region,Species,Project Stage,Ecosystem Type,Project Type,Project Sub-Type,Monitoring Approach,Project Theme,Salmon Life Stage,Project Core Element,Project Supportive Element,Links to other DFO programs,Links to other Government Organizations,Policy and Program Connections,Primary First Nation contact role,Programs used in analysis,Samples Collected,Element Title,yes/no,Outcomes Category,Data Quality Level,Outcome Sample Type,Agreement Type,Report Timeline,Report Type,SMU,Project lead Organization,Barriers to Sample Collection,Barriers to data checks/enter into database,Barrier to achieving outcomes?,What capacity building did this project provide?,Project Purpose,Lead Organization,Database,Data Products,Data Format,Planning Type,Field Work Type,Field Work Method,Sample Processing Type,Method Document Type,Objective Category,CU Name,CU Index,Primary River,Watershed Name,First Nations
APGIS,AFS ,YTRA,Chum,Proposed,Freshwater,Population Science,Research & Development,Indicator,Enumeration,Adult,Planning,Workshop,Changed to open text,Municipality,Strategic Species At Risk Act (SARA) Recovery Plans,Chief,Microsoft Excel,Adipose clips,Aquatic Resource Management and Stewardship,Yes,Submitted samples,Level 1 (Very High Quality) ,Adipose clips,Primary Agreement,Progress Report,Annual Funding Report,ALSEK COHO SALMON,DFO,Weather,No person available.,Site Access,New Staff Trained,Contribute to Escapement Estimation,DFO,ADF&G Zander ,Relative Abundance,Excel,Feasibility Study,"removed, as only as a division within the drop down choices",Stream Walks,Scales,Program Document,Biological,(N)GLENDALE,CK-1,15 Mile Creek,Adams River,A-Tlegay Fisheries Society
AAROM Shared Drive,AAROM ,SCA,Pink,Planning,Estuarine,Habitat Science,Monitoring,Intensive,Fish Condition,Juvenile,Field Work,Evaluation,,Province of British Columbia,COSEWIC Assessed Populations,Biologist,R (R Core Team),Administration,"Food, Social and Ceremonial (FSC) Fisheries Manangement",No,Summarized data,Level 2 (High Quality) ,Administration,Amendment,Final Report,Final Funding Report,CENTRAL COAST CHUM SALMON,First Nations,Site Access,Sample data requires more work before it can be entered into database.,Equipment failure,New Staff Interest,Contribute to Abundance Estimation,First Nations,PSMFC CWT,Escapement Estimate - expanded/final,Paper,Project Design,,Microtrolling,Otoliths,Administration Document ,Habitat,(N)MAYER,CK-10,25 Mile Creek,Alberni Inlet,Ahousaht
South Coast Shared Drive,PICFI ,NCA,Sockeye,Pilot,Marine,,Sampling,Extensive,Predator/Prey,Spawning,Sample Processing,Assessment,,Yukon Territory,WSP Implementation,Aquatics Manager ,VidEsc,Auxillary Appendage Clips,Economic Opportunities,,Raw Data,Level 3 (Good Quality) ,Auxillary Appendage Clips,First Nations Treaty Agreement,,Stream Summary,CENTRAL COAST COHO SALMON,Collaborative,Equipment failure,Person available but lack of training.,Equipment not available,Volunteers showed interest,Contribute to Terminal Return Data,Partner,ADF&G Rergion 1,Escapement Estimate -unexpanded/preliminary,Log Books,Resouce Allocation,,Boat,DNA,Conference - Conference paper/abstract,Catch,(N)ONERKA,CK-11,Aaltanhash River,Atlin Lake,Canadian Columbia River Inter-Tribal Fisheries Commission
North Coast Shared Drive,PST,FIA,Coho,Active,Unknown,,Recovery,Unknown,Catch (Recreational),Incubation,Data Entry,Committee,,Environment Canada,Fisheries Act Rebuilding Plans,Technician,Stratified Population Analysis System (SPAS) (Arnason et al. 1996),Biodata-Unspecified,Aquatic Resource Management Compliance and Accountability,,Stream Inspection Log,Level 4 (Moderate Quality,Biodata-Unspecified,Supply Arrangement,,Website,CENTRAL COST PINK SALMON,Unknown,Equipment not available,Equipment is available but not working.,Staffing unavailable,Community connections made,Contribute to Fishery Management,Contractor,ADF&G CWT Online Release,Habitat data,Word,Objective-setting,,Snorkle,eDNA,Book,Enhancement,(N)SYLVIA CREEK,CK-12,Abbott Creek,Atnarko River,Carrier Sekani Tribal Council
Fraser/Interior Shared Drive,SCI-STAD,,Chinook,Complete,Not Applicable,,Restoration,Not Applicable,Catch (Commercial),Unknown,Data Analysis,Administrative Support,,Climate Change Canada,Southern BC Chinook Initiative,Director,Bayesian Time Stratified Petersen Analysis System (BTSPAS; Bonner and Schwarz 2019),Water Samples-Biotoxin,Not Applicable,,Analyzed data - non-expanded estimates,Level 5 (Low Quality) ,Water Samples-Biotoxin,Contract,,Community Report,ECVI/MAINLAND PINK SALMON,Not Applicable,Staffing unavailable,Equipment is not available.,Staffing not trained,Public engagement,Hatchery Contribution to Run Estimation,Stewardship Society,ADF&G SF Research and Technical Services,Harvest rate,SIL-hardcopy,Other,,Roving,Heads,CSAS document,Administration,(P)ADAMS AND MOMICH LAKES-EARLY SUMMER TIMING,CK-13,Ada Cove Creek,Babine Lake,Central Coast Indigenous Resource Alliance
Yukon/Transboundary Shared Drive,HSP ,,Steelhead,Terminated,Other,,Community,,Catch (First Nations,Other,Reporting,Training,,Alaska Department of Fish & Game,Pacific Salmon Treaty,Fisheries Manager,Microsoft Access,Brood Collection,Unknown,,Analyzed data - expanded estimates,Unknown,Brood Collection,Unknown,,Bulletin,FRASER CHUM SALMON,Other,Staffing not trained,IT issues.,Weather,Previous Staff Training upgraded,Estimate Harvest,Unknown,NuSEDs,Stock Recruitment,SIL-digitized,Meeting summary,,Raft,Instrument Data Processing,Contract,Unknown,(P)HATCHERY EXCLUSION-PALLANT CREEK,CK-14,Adam River,Babine River,Cook's Ferry
SEP Shared Drive,BCSRIF ,,Salmon-Unspecified,Unknown,,,Enhancement,,Enhancement,Not Applicable,Other,Staffing,,Washington State,Pacific Salmon Strategy Initiative,Refuge Manager,Not Applicable,Catch Count,Annual Work Plan,,Analyzed data - other,Not Applicable,Catch Count,Not Applicable,,Project Report-General,FRASER FALL RUN 42 CHINOOK SALMON,,Unknown,Network connection issues.,Unknown,Equipment resources improved,Community Relations,Not Applicable,iREC,Survival Rate ,Instrument Program,Priority setting,,Deadpitch,Unknown,Statement of Work ,,AIN/SKUNDALE/IAN,CK-15,Adams Channel,Barrington River,Council of Yukon First Nations
Unknown,CNFASAR ,,Unknown,Not Applicable,,,Administration,,Population-Administration,,Unknown,Meeting,,Unknown,Other,Scientist,Other,Catch Effort,,,Annual Stream Report,,Catch Effort,Other,,Other Publication,FRASER PINK SALMON - ODD,,Not Applicable,Unknown,Other,Improved fisheries knowledge among community,Improve Monitoring Data Quality,,KREST,Marked status,Direct Entry into Computer,,,Floats,Other,Training Document,,ALASTAIR,CK-16,Adams L. East Side Shore,Big Bar Creek,Cowichan Tribes
Not Applicable,CRF ,,Not Applicable,Other,,,Unknown,,Unknown,,Not Applicable,Computer Support,,Not Applicable,Unknown,Unknown,,Counts,,,Report document,,Counts,,,Administration Report,FRASER SOCKEYE SALMON - LATE,,Other,Not Applicable,,Improved communication between DFO and funding recipient,Strategic Planning,,First Nations databases,Proportion of sampled fish effort/time,SENS,,,Electrofishing,,Protocol,,ALICE,CK-17,Adams L. North End Shore,Beaver River,DMT Fisheries Society
Other,FHRI ,,Other,,,,,,Not Applicable,,,Advice & Consultation,,Other,Not Applicable,Other,,Coded Wire Tag Recovery,,,Summary of Activities,,Coded Wire Tag Recovery,,,Method Report,FRASER SPRING RUN 42 CHINOOK SALMON,,,Other,,Other,Support of Recreational Fishery,,Shared DFO drives,Proportion of in-river salmon destined for spawning,Not Applicable,,,Fishwheel,,Field Notes,,ALOUETTE_EARLY SUMMER<<EXTIRPATED>>,CK-18,Adams L. South End Shore,Bella Coola River,First Nations Fisheries Council
