Organization Name,Organization Type,Section,Address,City,Province/State,Country,Phone,Primary email,Website
�Namgis First Nation,First Nation,,PO Box 210,Alert Bay,British Columbia,Canada,250-974-5556,Don.svanvik@namgis.bc.ca. vcrna.ambers@namgis.bc.ca,https://www.namgis.bc.ca/
1224333 B.C. Ltd  (Eric Courtin),Company,,7201A Island Highway South,Fanny Bay,British Columbia,Canada,(236) 330-6770,ericpaulc@gmail.com,Unknown
Alaska Department of Fish & Game Gene Conservation Laboratory,Government,Gene Conservation Laboratory,333 Raspberry Road,Anchorage,Alaska,United States of America,907-267-2247,chris.habicht@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishinggeneconservationlab.main
"Alaska Department of Fish & Game Mark, Tag and Age Laboratory",Government,"Mark, Tag and Age Laboratory",10107 Bentwood Drive,Juneau,Alaska,United States of America,907-465-3483,dfg.dcf.cwtstaff@alaska.gov,https://mtalab.adfg.alaska.gov/
Alaska Department of Fish & Game Pathology Laboratory Juneau,Government,Juneau Laboratory,3333 Glacier Highway/P.O. Box 115526,Juneau,Alaska,United States of America,907-465-3577,ted.meyers@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishingpathologylab.main
Alaska Department of Fish & Game Pathology Laboratory Anchorage,Government,Anchorage Laboratory,333 Raspberry Road,Anchorage,Alaska,United States of America,907-267-2244,ted.meyers@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishingpathologylab.main
A-Tlegay Fisheries Society,First Nation,,1441 A Old Island Highway,Campbell River,British Columbia,Canada,250-287-8868,atlegay@shawcable.com,http://www.a-tlegay.ca/
BC Centre for Aquatic Health Sciences,Company,,871A Island Highway,Campbell River,British Columbia,Canada,250-286-6102,admin@cahs-bc.ca,https://www.cahs-bc.ca/
BC Conservation Foundation,Non-Profit Organization,,#1-7217 Lantzville Rd,Lantzville,British Columbia,Canada,250-390-2525 (ext. 222),jatkinson@bccf.com,https://bccf.com/
Blue Green Environmental Planning,Company,,305 Quattishe Road,Coal Harbour BC  ,British Columbia,Canada,250-202-7755,Kim.lefebvre@bluegreen.ca,Unknown
Boomchain Mining Inc.,Company,,1642 Canin Rd,Nanaimo,British Columbia,Canada,250-816-1128,boomchain@shaw.ca,Unknown
Bridge River Indian Band,First Nation,,Box 190,Lillooet,British Columbia,Canada,250-256-7423,council@xwisten.ca ,http://xwisten.ca/
Driftwood Cove Consulting,Company,,General Delivery,Lasqueti Island,British Columbia,Canada,250-333-8849,bdorner@driftwoodcove.ca,Unknown
Carrier Sekani Tribal Council,First Nation,,"2nd Floor, 1460 6th Avenue",Prince George,British Columbia,Canada,250-562-6279,,http://www.carriersekani.ca/
