STAR#-deleted - my reference only,Agreement_Number,Agreement_Database,Agreement Status,Agreement Status Comment, Agreement Lineage,Funding_Source,Agreement Type,Agreement Cost,Salmon-relevant cost,Project Lead Organization,Agreement Key Element/Activity-delete for my purposes only,Fund Years,PROJECT NAME,Project Description,Project Start Date,Project End Date,Region,Ecosystem Type,Primary River,Secondary River,Lake System,Watershed Name,Lat,Long,DFO Management Area,SMU Name,CUIndex,CUName,Species,Species Comment,Salmon Life Cycle,Project Phase,Project_Type,Project_Subtype,Monitoring_Approach,Project_Theme,Project_Core_Element,Project_Supportive_Element,Project Purpose,Category Comments,Links to other DFO Programs,Linked DFO Program Project Reference,Links to other Government Organizations,Government Organization Reference,Policy and Program Connections,DFO Project Authority,DFO Aboriginal Affairs Advisor,Area Chief,DFO Resource manager,First Nations,Primary First Nations Contact,Primary First Nations Contact Role,Other First Nations Contact,Other First Nations Contact Role,DFO Biologists or Technicians,Others,Partners,Partners Primary Contact,Contractors,Contractors Primary Contact,Method Type,Method Type,Method Type,Location/Organization responsible for Scale Processing,Location/Organization responsible for Otolith Processing,Location/Organization responsible for DNA Processing,Location/Organization responsible for Heads Processing,Location/Organization responsible for Instrument Data Processing,Data Entry Method Type,Method Document Type,Author,Year,Title,Reference Number,Link to Document,Samples Collected,Samples Collected Comment,Samples Collected Database,Barrier to sample collection?,Were sample collection data entered into database?,Wad sample data quality check complete?,Person responsible for data quality check,,Barriers to data checks/enter into database,Sample Collection Formats,Data Products,Data Products Database,Data Products Comment,Data Programs,How was data communicated back to funding recipient?,Report Timeline,Report Limitations and concerns,Report Types,Document Name,Document Owner/Author,Document Location,Document Reference Information,Document Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,5J440-CED-2018-110-01-P1,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$81,000.00",FIRST NATIONS,P1,2019,Cowicahn River Adult Chinook Enumeration Program,"Cowichan River Adult Chinook Enumeration Program (indicator stock for Lower Georgia Strait Chinook) - undertaking fence and spawning ground (dead pitch) operations. On occasion, surplus AFS G&C had supported this activity in the past. ",Unknown,Unknown,SCA,FRESHWATER,Cowichan River,Unknown,Unknown,Unknown,48.75355112,-123.6370155,Unknown,GEORGIA STRAIT CHINOOK SALMON,CK-22,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CH,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,INDICATOR,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Kevin Pellett,Unknown,Wilf Luedke,Unknown,Cowichan Tribes,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Intensive measure, Biodata","Fence, Deadpitch",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,AFS2015-MLT-1551-6-A3-P1,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$100,000.00",FIRST NATIONS,A3-P1,2019,Stock Assessment/Mark Recapture,"Lengthening the duration of the mark-recpature program funded by AFS. Sockeye and coho selected for tagging will be tagged with TBA-1, Hallprint tags and collect biological samples including scale in Upper Bulkley River, Morice Lake, and Atna Lake.",4/1/2015,3/31/2020,NCA,FRESHWATER,Morice River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[SK, CO]",,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,"FIELD WORK,SAMPLE PROCESSING",DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Barry Finnegan,Unknown,Shaun Davies,Unknown,Wet'suwet'en Treaty Office Society,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Tagging, Biodata","Mark-Recapture, Hallprint tags, GSI, Age",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,AFS2015-MLT-1551-6-A3-P2,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$30,500.00",FIRST NATIONS,A3-P2,2016,Stock Assessment/Mark Recapture for Morice watershed,"Provides a population estimate of salmon destined for spawning grounds above the Moricetown Canyon.Tagging Program.  Sex, length and condition are compiled.  Special emphasis on the damage conditions (Saprolegnia spp.).  Supplementary assessments such as stream walks in the Upper Bulkley, Nanika River swim and dead pitch, and aerial spawner counts.  Also evaluate presence and strength of salmonids within the Bulkley/Morice watershed.",4/1/2015,3/31/2020,NCA,FRESHWATER,Morice River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[CO, CH, CM, PK, SK]",,SPAWNING,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,"FIELD WORK,DATA ENTRY,DATA ANALYSIS","DATA COLLECTION,ANALYSIS OF CURRENT DATA","POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Barry Finnegan,Unknown,Shaun Davies,Unknown,Wet'suwet'en Treaty Office Society,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Intensive Measure, Biodata","Sex, length, Condition, walks, deadpitch, plane",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,AFS2017-MLT-1719-5-A6,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$5,300.00",FIRST NATIONS,A6,2019,Bowron Sockeye Aerial Survey,"To conduct one systematic flight on the Bowron system. Biological samples will be collected if carcasses are observed, if possible.",1/4/2017,31/3/2022,FIA,FRESHWATER,Bowron River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,"Scott Decker, Tanya Vivian",Unknown,Timber Whitehouse,Unknown,Lheidli T'enneh,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Biodata,Plane,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,AFS2017-MLT-1719-5-A7,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$19,000.00",FIRST NATIONS,A7,2019,Chinook Aerial Counts for Upper Fraser Spring 52 Extensive Flights and other surveys,"Lheidli'Tenneh  - Aerial surveys of spring 52 Chinook salmon. Co-lead the surveys. Willow/Wansa, Bowron and Tete Jaune.",1/4/2017,31/3/2022,FIA,FRESHWATER,Fraser River,Unknown,Unknown,Unknown,52.97134562,-119.4508333,Unknown,FRASER SPRING RUN 52 CHINOOK SALMON,CK-12,UPPER FRASER RIVER_SP_1.3,CH,,SPAWNING,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,"Nicole Trouton, Chad Ridley",Unknown,Timber Whitehouse,Unknown,Lheidli T'enneh,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Aerial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,AFS2017-MLT-1720-4-A4,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$14,000.00",FIRST NATIONS,A4,2019,Pacific Salmon Treaty Funds to Support Sockeye Enumeration Program,"Maintain standard of equipment used to operate and support sockeye enumeration program - this includes DIDSON unit servicing, constructing a new waterproof shed to assemble/disassemble equipment annually, purchase of two laptops for sonar file processing and analysis, and fabrication of a telescoping weir for sonar site operations.",1/4/2017,31/3/2021,FIA,FRESHWATER,Fraser River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,EQUIPMENT SUPPORT,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Tracy Cone,Unknown,Timber Whitehouse,Unknown,Lil'wat Nation,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Instrumentation,DIDSON,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,AFS2017-MLT-1720-4-A6,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,,FIRST NATIONS,A6,2019,Expenses to Support Effective Field Operations,1. Purchase additional materials and supplies for the new waterproof shed to house the DIDSON sonar technology during the sockeye enumeration program as follows: lumber; two gazebos; and LED lights. 2. Pay for unexpected cost associated with the operation of the leased field truck (Chevrolet Colorado truck). 3. Purchase necessary gear for field crew as follows: winter wear for conducting field work during cold winter months; and waders and boots.,1/4/2017,31/3/2021,FIA,FRESHWATER,Fraser River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,ESCAPEMENT,FIELD WORK,EQUIPMENT SUPPORT,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Tracy Cone,Unknown,Timber Whitehouse,Unknown,Lil'wat Nation,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Planning Method Documents,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,AFS2017-MLT-1731-3-A3,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$9,790.00",FIRST NATIONS,A3,2019,Chinook and Coho Aerial Counts,To conduct systematic flights on the Quesnel River during peak spawning activity.,1/4/2017,31/3/2022,FIA,FRESHWATER,Quesnel River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[CH, CO]",,SPAWNING,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,"Nicole Trouton, Chad Ridley",Unknown,Timber Whitehouse,Unknown,Northern Shuswap Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Aerial,Plane,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,AFS2017-MLT-1731-4-A5,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,,FIRST NATIONS,A5,2020,Roving Surveys of Quesnel Watershed — Pacific Salmon Treaty,"Task Description:1.The Organization will work jointly with DFO conducting live counts, dead pitch/carcass recovery, and collecting samples.  Work includes rafting (Horsefly), lake boat travel on Quesnel Lake, jet boating on Mitchell River, and stream walks.  2.This work will be conducted in approximately 4 weeks; 7 days a week from September 16 to October 11, 2019. First week of work will include a couple days of orientation. Orientation may occur at the Quesnel Lake Research station in Likely, rather than at Horsefly. 3.Two NSTC Technicians will be part of the regular roving crew covering the Quesnel system watershed.  Depending on daily work location, crew will report for work at 8am at either the Horsefly Spawning Channel or at DFO’s rented accommodation (about 10 minutes towards Elysha Resort from the Horsefly Spawning Channel). 4.Technicians would need to supply their own Personal Protective Equipment (e.g., waders, field vests, life jackets, etc.). DFO can provide pews and machetes, if needed, as well as any other fish sampling gear. 5.",4/1/2017,31/3/2022,FIA,FRESHWATER,Quesnel River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[SK, CH]",,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,Brian Leaf,Unknown,Timber Whitehouse,Unknown,Northern Shuswap Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Visual, Biodata","Deadpitch, Biodata",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,AFS2017-MLT-1731-5-A3,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,,FIRST NATIONS,A3,2020,Quesnel Sockeye Sampling and Enumeration Support — Pacific Salmon Treaty,"Task Description: 1.The Organization will work jointly with DFO conducting live counts, dead pitch/carcass recovery, and collecting samples. Work includes rafting (Horsefly), lake boat travel on Quesnel Lake, jet boating on Mitchell River, and stream walks. 2.The Organization will work jointly with DFO conducting the necessary field work to inform an estimate of the total sockeye escapement and effective spawning population by individual to the Quesnel system. Activities include measuring live and dead sockeye abundance, collecting biological samples (tissue, scales and otoliths) from spawning grounds, recording sex ratios and spawning success, habitat monitoring (water levels and temperature), spawner distribution within streams, and pre-spawn mortality in the approach and terminal spawning areas. 3.This work is planned to be conducted over 3 weeks; 7 days a week, 0800-1600 hours, from September 14 to October 4, 2020. However, actual scheduling of work can vary dependent on in-season abundance reports in the watershed. 4.NSTC fisheries technicians will be given a combination of in-person and online training at the start of the contract period to ensure all field staff are current with health and safety awareness and procedures for field operations. DFO Fisheries Technicians will provide expertise and on-the-ground training in sample collection procedures.5. NSTC will provide two NSTC fisheries technicians with the necessary equipment and gear to conduct the creek surveys and sample collection. A list of necessary gear will be provided to NSTC in advance of the project. NSTC will also supply their technicians with a means of transportation to and from the pre-determined work start site in Horsefly, BC.",4/1/2017,31/3/2022,FIA,FRESHWATER,Quesnel River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,Brian Leaf,Unknown,Timber Whitehouse,Unknown,Northern Shuswap Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Visual, Biodata","Deadpitch, Biodata",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
