Project Number,Agreement Number,Project Name,Project Description,Agreement Database,Agreement Comment, Agreement Information??-connections,Funding Sources,Other Funding Sources,Agreement Type,Lead Organization,Fund Years-with costing,Project Start Date,Project End Date,Region,Ecosystem Type,Primary_River,Secondary River,Lake System,Watershed Name,DFO Management Area,Lat,Long,Stock Management Unit,CUIndex,CUName,Species,Salmon Life Stage,Project Stage,Project_Type,Project_Subtype,Monitoring_Approach,Project_Theme,Project_Core_Element,Project_Supportive_Element,Project Purpose,Category Comments,Links to other DFO Programs,Linked DFO Program Project Reference,Links to other Government Departments,Policy and Program Connections,DFO Project Authority,DFO Aboriginal Affairs Advisor,Area Chief,DFO Resource manager,First Nations,First Nations Contact,First Nations Contact Role,DFO Biologists or Technicians,Partners,Partners Primary Contact,Contractors,Contractors Primary Contact,Method Type,Location/Organization responsible for Scale Processing,Location/Organization responsible for Otolith Processing,Location/Organization responsible for DNA Processing,Location/Organization responsible for Heads Processing,Location/Organization responsible for Instrument Data Processing,Method Document Type,Traditional Ecological Knowledge Considered?,Reference Number,Link to Document,Samples Collected,Samples Collected Comment,Samples Collected Database,Barrier to sample collection?,Was sample collection data entered into database(s)?,Was sample data quality check complete?,How was data quality check completed?,Barriers to data checks/enter into database,Sample Collection Format(s),Data Products,Data Products Database(s),Data Products Comment,Data Programs,How was the data communicated to recipient?,Report Timeline,Report Limitations and concerns,Report Types,Document Name,Document Owner/Author,Document Reference Information,Document Link,Is this report published?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-CED-212,5J440-CED-2020-212-A1,Conservation and Enhancement of Pacific Salmonids in the Nanaimo Watershed,"Pursue enhancement goals and objectives for each brood year outlined in the approved Integrated Fisheries Management Plan Production Plan for the Nanaimo and Chemainus River watersheds. To support stock rebuilding, raise and release up to: ·  225,000 summer run and 425,000 fall run Nanaimo chinook ;  67,500 Chemainus chinook salmon ; 200,000 Nanaimo coho ; To support harvest access, raise and release up to:  900,000 Nanaimo chum ; 1,000,000 pink salmon ",SEP Shared Drive,,,SEP-CED,"Nanaimo River Stewardship Society,Community Donations,Volunteer labour,VIU Practicum",Primary Agreement,Stewardship Society,"2020,2021",2020-04-01,2021-03-31,SCA,"Freshwater,Marine",Nanaimo River,Chemainus River,Nanaimo Lakes,"Nanaimo Watershed,Chemainus Watershed",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CH,CM,CO,PK","Adult,Incubation,Juvenile",Active,Population Science,Enhancement,Extensive,Enhancement,Field Work,"Data Collection,Equipment Support,Live Collection","Improve Fish Recruitment,Support Stock Rebuilding,Support Harvest Access",Unknown,Unknown,Unknown,Unknown,Unknown,Erica Blake,Unknown,Unknown,Unknown,Nanaimo River Stewardship Society,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Broodstock Take,PIT tagging,BioData- Tissue Collection,Fish Health Condition,Habitat Monitoring-General",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Enhancement Targets,Incubation Data,Brood Summary Data,Egg Collection,Tissue Collection-Unspecified,Habitat Condition-General",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-CED-212,5J440-CED-2020-212-A2,Conservation and Enhancement of Pacific Salmonids in the Nanaimo Watershed,"To fulfill the purpose of promoting conservation and enchancement in the Nanaimo River area, the NRSS undertakes and supports public education and outreach activities. The activities range from volunteer participation in salmon enhancement activities and educational viewing opportunities, to school programs and salmon fry release opportunities for the public and students. Most stewardship activities align with the timing of salmon enhancement activities across the year. ",SEP Shared Drive,,,SEP-CED,"Nanaimo River Stewardship Society,Community Donations,Volunteer labour,VIU Practicum",Primary Agreement,Stewardship Society,"2020,2021",2020-04-01,2021-03-31,SCA,"Freshwater,Marine",Nanaimo River,Chemainus River,Nanaimo Lakes,"Nanaimo Watershed,Chemainus Watershed",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CH,CM,CO,PK","Adult,Incubation,Juvenile",Active,Population Science,Enhancement,Extensive,Enhancement,Field Work,Community Education,Community Relations,Unknown,Unknown,Unknown,Unknown,Unknown,Erica Blake,Unknown,Unknown,Unknown,Nanaimo River Stewardship Society,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-CED-218,5J440-CED-2020-218-A1,Thornton Creek Hatchery: Conservation and Enhancement of Pacific Salmonids in Barkley Sound,"TCH supports conservation and rebuilding, and harvest enhancement objectives in the Ucluelet area watersheds, Toquaht watershed and enhancement activities in the Clayoquot Sound watersheds that include Tranquil and Upper Kennedy River watersheds. Year round tasks involve implementing best management practices of salmon culture techniques including Salmonid broodstock capture, holding, handling, sorting, spawning, incubation - (inventory, fungus treatments - salt, parasite S, shocking, picking (hand, machine), ponding, marking, flows, experiments, marking (otolith, clips, tags, other), rearing in raceways, channels, tubs, netpens/seapens (diet/growth, pond maintenance, water quality, flow), fish health management, treatment, biosecurity (internal, external), transport, release, adult and juvenile enumeration and sampling. Program preparation, monitoring, troubleshooting, maintenance and clean-up are ongoing tasks. Program strategic planning and broader facilities maintenance occur during periods of reduced biological activity.",SEP Shared Drive,,,SEP-CED,"ECO Canada,Thornton Creek Volunteers",,Stewardship Society,"2020,2021",2020-04-01,2021-03-31,SCA,"Freshwater,Marine",Unknown,Unknown,Unknown,"Toquaht Watershed,Clayoquot Sound Watershed",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CH,CO,CM","Adult,Incubation,Juvenile",Active,Population Science,Enhancement,Extensive,Enhancement,Field Work,"Data Collection,Equipment Support,Live Collection","Improve Fish Recruitment,Support Stock Rebuilding,Support Harvest Access",Unknown,Unknown,Unknown,Unknown,Unknown,Erica Blake,Unknown,Unknown,Unknown,Nanaimo River Stewardship Society,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Broodstock Take,PIT tagging,BioData- Tissue Collection,Fish Health Condition,Habitat Monitoring-General",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Enhancement Targets,Incubation Data,Brood Summary Data,Egg Collection,Tissue Collection-Unspecified,Habitat Condition-General",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-CED-218,5J440-CED-2020-218-A2,Thornton Creek Hatchery: Conservation and Enhancement of Pacific Salmonids in Barkley Sound,"Thornton Creek Hatchery works collaboratively with First Nations, volunteer community groups, municipal and federal governments, industry, educational institutions, and other stakeholder groups. The hatchery supports Community Involvement Program Stream to Sea Education programming, including Salmonids in the Classroom. Most stewardship activities align with the timing of salmon enhancement activities throughout the year.",SEP Shared Drive,,,SEP-CED,"ECO Canada,Thornton Creek Volunteers",Primary Agreement,Stewardship Society,"2020,2021",2020-04-01,2021-03-31,SCA,"Freshwater,Marine",Unknown,Unknown,Unknown,"Toquaht Watershed,Clayoquot Sound Watershed",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CH,CO,CM","Adult,Incubation,Juvenile",Active,Population Science,Enhancement,Extensive,Enhancement,Field Work,Community Education,Community Relations,Unknown,Unknown,Unknown,Unknown,Unknown,Erica Blake,Unknown,Unknown,Unknown,Nanaimo River Stewardship Society,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-0-A2,Lower Harrison River Adult Chum Tagging. ,Lower Harrison River Adult Chum Tagging.  Stock assessment program for enumerating chum on the Harrison and Chehalis system using mark-recapture methods.  Dead recovery surveys.   Biologist hired or contracted.,APGIS,,,AFS,,Primary Agreement,First Nations,"2018,2019",2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Harrison River,Harrison River,Harrison River,Unknown,49.21890306,-121.9450663,FRASER CHUM SALMON,CM-2,LOWER FRASER,CM,Adult,Active,Population Science,Monitoring,Extensive,"Escapement,Catch (First Nations)",Field Work,"Data Collection,Staffing",Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Mark-Recapture-other,Deadpitch",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Counts,Mark/Tagging-Unspecified",Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-0-A3,Stream Surveys,Lower Harrison River Adult Chum Tagging.  Stock assessment program for enumerating chum on the Harrison and Chehalis system using mark-recapture methods.  Dead recovery surveys.   Biologist hired or contracted.,APGIS,,,AFS,,Primary Agreement,First Nations,"2018,2019",2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Chehalis River,Unknown,Harrison River,Unknown,49.21890306,-121.9450663,FRASER CHUM SALMON,CM-2,LOWER FRASER,CM,Adult,Active,Population Science,Monitoring,Extensive,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stream Walks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-0-B1,"Food, Social and Ceremonical Management",The Organization will work with DFO LFA Resource Management (Catch Monitoring Biologist) to plan and implement a program to monitor the HFA FSC fisheries.  Monitoring of salmon fisheries within the Fraser River will be coordinated with the Fraser Valley Aboriginal Fisheries Society (FVAFS) or other lead organization. ,APGIS,,,AFS,,Primary Agreement,First Nations,"2018,2019",2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Cheakamus River,Unknown,Harrison River,Unknown,49.21890306,-121.9450663,FRASER CHUM SALMON,CM-2,LOWER FRASER,"CO,CH,CM,PK,SK",Adult,Active,Population Science,Monitoring,Extensive,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Creel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-1-A4,Pacific Salmon Treaty Funds to Support the Lower Harrison River Watershed Adult Chum Tagging and Stream Surveys,"To improve delivery of existing activities within their AFS agreement (i.e., A-2: Lower Harrison River Watershed Adult Chum Tagging program and A-3: stream surveys) - hire additional staff in the delivery of succession planning to ensure continuation of activitries and increase data collection - and to collabroate with FIA StAD to estimate Survey Life for chum in approx. six systems in the lower Fraser River watershed. ",APGIS,,,"AFS,PST",,Amendment,First Nations,2019,2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Chehalis River,Unknown,Harrison River,Unknown,49.21890306,-121.9450663,"LOWER FRASER COHO SALMON,FRASER FALL RUN 42 CHINOOK SALMON,FRASER CHUM SALMON,FRASER PINK SALMON - ODD,FRASER SOCKEYE SALMON - LATE","CO-47,CK-3,CM-2,PKO-1,SER-03","LOWER FRASER,LOWER FRASER RIVER_FA_0.3,LOWER FRASER,FRASER RIVER,HARRISON RIVER",CM,Adult,Active,Population Science ,Sampling,Extensive,"Escapement,Catch (First Nations)",Field Work,"Data Collection,Staffing",Improve Monitoring Data Quality,Unknown,Stock Assessment and Research,AFS2018-MLT-1837-0,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stream Walks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Coded Wire Tag Recovery,Counts,Mark/Tagging-Unspecified",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-2-A5,Surplus Funding - Purchase Two Beach Seine Nets to Assist in the Lower Harrison River Watershed Adult Chum Tagging Program,Purchase necessary materials and fabricate two beach seine nets for use in the Adult Chum Tagging Program.,APGIS,,,AFS,,Amendment,First Nations,2019,2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Unknown,Unknown,Harrison River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Adult,Completed,Population Science,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-3-A4,Operational support technician at the Weaver Creek spawning Channel ,"One Sts’ailes member is hired to work full time at the Weaver Creek hatchery performing set up and dismantle the spawning channel/fish way, dead pitch work, spawner and fry enumeration, site cleanup, and minor repairs.",APGIS,,,"AFS,PST",,Amendment,First Nations,2020,2018-04-01,2020-03-31,FIA,Freshwater,Weaver Creek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Adult,Completed,Population Science,Monitoring,Extensive,Escapement,Field Work,"Data Collection,Staffing",Contribute to Escapement Estimation,Unknown,Unknown,Salmon Enhancement Program,Unknown,Unknown,Shaun Spenard,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Deadpitch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
