Agreement_Number,Unique Objective,Reporting_Outcome,Reporting Met,Reporting Link,,,,,,,,,,,
5J440-CED-2020-212-A1,1,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,1,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,1,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,2,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,2,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,2,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,3,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,3,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,3,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,4,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,4,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,4,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,5,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,5,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,5,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,6,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,6,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,6,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,7,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,7,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,7,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,8,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,8,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-212-A1,8,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,1,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,1,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,1,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,2,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,2,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,2,Report Document,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,3,Raw Data,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,3,Submitted Samples,No,,,,,,,,,,,,
5J440-CED-2020-218-A1,3,Report Document,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-A2,1,Submitted Samples,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-A2,1,Report Document,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,2,Report Document,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,3,Report Document,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,3,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-1-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-3-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-3-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-3-A5,1,Raw Data,No,,,,,,,,,,,,
