Y_LAT,X_LONGT,River,CUName,CUNameSPP,CUIndex,Outlook,SMU,,,,,
55.3315823,-125.7663664,15 Mile Creek,TAKLA/TREMBLEUR-EARLY STUART TIMING,SO,SEL-06-14,,,,,,,
55.2677005,-125.7160347,25 Mile Creek,TAKLA/TREMBLEUR-EARLY STUART TIMING,SO,SEL-06-14,,,,,,,
53.14706593,-128.4767866,Aaltanhash River,DOUGLAS-GARDNER,CM,CM-20,Coastal Areas 5 & 6,CENTRAL COAST CHUM SALMON,,,,,
53.14706593,-128.4767866,Aaltanhash River,HECATE STRAIT-FJORDS,PI,PKO-13,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
53.14706593,-128.4767866,Aaltanhash River,NORTHERN COASTAL FJORDS,SO,SER-16,,,,,,,
53.14706593,-128.4767866,Aaltanhash River,NORTHERN COASTAL STREAMS,CO,CO-30,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
53.14706593,-128.4767866,,,,,,,,,,,
53.14706593,-128.4767866,,,,,,,,,,,
52.54260358,-121.1779389,Abbott Creek,QUESNEL-SUMMER TIMING,SO,SEL-06-10,,,,,,,
52.05516574,-128.050124,Ada Cove Creek,HECATE STRAIT MAINLAND,CO,CO-27,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
52.05516574,-128.050124,Ada Cove Creek,HECATE STRAIT-LOWLANDS,PI,PKO-12,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
52.05516574,-128.050124,Ada Cove Creek,NORTHERN COASTAL STREAMS,SO,SER-17,,,,,,,
52.05516574,-128.050124,Ada Cove Creek,SPILLER-FITZ HUGH-BURKE,CM,CM-15,Areas 7 to 10,CENTRAL COAST CHUM SALMON,,,,,
52.05516574,-128.050124,,,,,,,,,,,
50.46751497,-126.2754215,Adam River,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SO,SER-08,,,,,,,
50.46751497,-126.2754215,Adam River,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT,PI,PKO-4,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.46751497,-126.2754215,Adam River,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-14,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.46751497,-126.2754215,Adam River,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CN,CK-29,,,,,,,
50.46751497,-126.2754215,Adam River,NORTHEAST VANCOUVER ISLAND,CM,CM-5,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.46751497,-126.2754215,,,,,,,,,,,
51.02684994,-119.6500286,Adams Channel,SHUSWAP COMPLEX-EARLY SUMMER TIMING,SO,SEL-09-02,,,,,,,
51.02684994,-119.6500286,Adams Channel,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
51.19017205,-119.5429364,Adams L. East Side Shore,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
51.40448655,-119.4391574,Adams L. North End Shore,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
50.96705266,-119.7006229,Adams L. South End Shore,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
50.9610999,-119.675968,Adams Lake,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
50.89386286,-119.5505675,Adams River,FRASER RIVER,PI,PKO-1,Fraser – Odd only,FRASER PINK SALMON - ODD,,,,,
50.89386286,-119.5505675,Adams River,SOUTH THOMPSON,CO,CO-8,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
50.89386286,-119.5505675,Adams River,SOUTH THOMPSON_SU_0.3,CN,CK-13,Fraser River Summer Run 41,FRASER SUMMER RUN 41 CHINOOK SALMON,,,,,
50.89386286,-119.5505675,Adams River,SOUTH THOMPSON_SU_0.3,CN,CK-13,Fraser River Summer Run 41,FRASER SUMMER RUN 41 CHINOOK SALMON,,,,,
50.89386286,-119.5505675,Adams River,SHUSWAP COMPLEX-EARLY SUMMER TIMING,SO,SEL-09-02,,,,,,,
50.89386286,-119.5505675,Adams River,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
50.89452793,-119.549924,Adams River - Shore,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
51.41089723,-119.45611,Adams River (Upper),SOUTH THOMPSON,CO,CO-8,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
51.41089723,-119.45611,Adams River (Upper),UPPER ADAMS RIVER_SU_x.x,CN,CK-82,Fraser River Summer Run 41,FRASER SUMMER RUN 41 CHINOOK SALMON,,,,,
51.41089723,-119.45611,Adams River (Upper),SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
51.41089723,-119.45611,Adams River (Upper),(P)ADAMS AND MOMICH LAKES-EARLY SUMMER TIMING,SO,SEL-09-xx,,,,,,,
53.05308372,-131.9158987,Aero Creek,EAST HAIDA GWAII,PI,PKO-9,Haida Gwaii – Odd & Even,HAIDA GWAII PINK SALMON,,,,,
53.05308372,-131.9158987,Aero Creek,EAST HG,CM,CM-21,Haida Gwaii,HAIDA GWAII CHUM SALMON,,,,,
53.05308372,-131.9158987,Aero Creek,HG-EAST,CO,CO-23,,,,,,,
53.05308372,-131.9158987,,,,,,,,,,,
53.23766458,-131.8653468,Agnes Creek,HG-GRAHAM ISLAND LOWLANDS,CO,CO-25,,,,,,,
53.17452978,-122.498461,Ahbau Creek,INTERIOR FRASER,CO,CO-48,,,,,,,
53.17452978,-122.498461,Ahbau Creek,MIDDLE FRASER RIVER_SP_1.3,CN,CK-10,Fraser River Spring Run 52,FRASER SPRING RUN 52 CHINOOK SALMON,,,,,
50.88997449,-125.6388386,Ahnuhati River,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.88997449,-125.6388386,Ahnuhati River,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.88997449,-125.6388386,Ahnuhati River,SOUTHERN FJORDS,SO,SER-09,,,,,,,
50.88997449,-125.6388386,Ahnuhati River,SOUTHERN FJORDS,PI,PKO-7,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.88997449,-125.6388386,Ahnuhati River,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CN,CK-28,,,,,,,
50.88997449,-125.6388386,Ahnuhati River,UPPER KNIGHT,CM,CM-9,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.88997449,-125.6388386,Ahnuhati River,UPPER KNIGHT,CM,CM-9,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.88997449,-125.6388386,,,,,,,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN COASTAL STREAMS,CM,CM-8,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN COASTAL STREAMS,CM,CM-8,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN FJORDS,SO,SER-09,,,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN FJORDS,PI,PKO-7,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.87100454,-126.1649736,Ahta River,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CN,CK-28,,,,,,,
