Organization Name,Organization Type,Section,Address - Road/Box,City,Province/State,Country,Phone,Primary email,Website,Last modified
‘Namgis First Nation,FIRST NATION,,PO Box 210,Alert Bay,BRITISH COLUMBIA,CANADA,250-974-5556,Don.svanvik@namgis.bc.ca. vcrna.ambers@namgis.bc.ca,https://www.namgis.bc.ca/,16/9/2020
1224333 B.C. Ltd  (Eric Courtin),COMPANY,,7201A Island Highway South,Fanny Bay,BRITISH COLUMBIA,CANADA,(236) 330-6770,ericpaulc@gmail.com,,15/2/2021
Alaska Department of Fish & Game Gene Conservation Laboratory,GOVERNMENT,Gene Conservation Laboratory,333 Raspberry Road,Anchorage,ALASKA,UNITED STATES OF AMERICA,907-267-2247,chris.habicht@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishinggeneconservationlab.main,9/9/2020
"Alaska Department of Fish & Game Mark, Tag and Age Laboratory",GOVERNMENT,"Mark, Tag and Age Laboratory",10107 Bentwood Drive,Juneau,ALASKA,UNITED STATES OF AMERICA,907-465-3483,dfg.dcf.cwtstaff@alaska.gov,https://mtalab.adfg.alaska.gov/,9/9/2020
Alaska Department of Fish & Game Pathology Laboratory,GOVERNMENT,Juneau Laboratory,3333 Glacier Highway/P.O. Box 115526,Juneau,ALASKA,UNITED STATES OF AMERICA,907-465-3577,ted.meyers@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishingpathologylab.main,9/9/2020
Alaska Department of Fish & Game Pathology Laboratory,GOVERNMENT,Anchorage Laboratory,333 Raspberry Road,Anchorage,ALASKA,UNITED STATES OF AMERICA,907-267-2244,ted.meyers@alaska.gov,https://www.adfg.alaska.gov/index.cfm?adfg=fishingpathologylab.main,9/9/2020
A-TLEGAY FISHERIES SOCIETY,FIRST NATION,,1441 A Old Island Highway,Campbell River,BRITISH COLUMBIA,CANADA,250-287-8868,atlegay@shawcable.com,http://www.a-tlegay.ca/,9/9/2020
BC Centre for Aquatic Health Sciences,COMPANY,,871A Island Highway,Campbell River,BRITISH COLUMBIA,CANADA,250-286-6102,admin@cahs-bc.ca,,15/2/2021
BC Conservation,GOVERNMENT,,#1-7217 Lantzville Rd,Lantzville,BRITISH COLUMBIA,CANADA,250-390-2525 (ext. 222),jatkinson@bccf.com,,15/2/2021
Blue Green Environmental Planning,COMPANY,,305 Quattishe Road,Coal Harbour BC  ,BRITISH COLUMBIA,CANADA,250-202-7755,Kim.lefebvre@bluegreen.ca,,15/2/2021
Boomchain Mining Inc.,COMPANY,,1642 Canin Rd,Nanaimo,BRITISH COLUMBIA,CANADA,250-816-1128,boomchain@shaw.ca,,15/2/2021
Brigitte Dorner (Driftwood Cove Consulting),COMPANY,,General Delivery,Lasqueti Island,BRITISH COLUMBIA,CANADA,250-333-8849,bdorner@driftwoodcove.ca,,15/2/2021
Carrier Sekani Tribal Council,FIRST NATION,,"2nd Floor, 1460 6th Avenue",Prince George,BRITISH COLUMBIA,CANADA,250-562-6279,,http://www.carriersekani.ca/,6/11/2020
Central Westcoast Forest Society,COMPANY,,"PO Box 641, 286 Main St",Ucluelet,BRITISH COLUMBIA,CANADA,250-726-2424,jessica@clayoquot.org,https://clayoquot.org/,15/2/2021
Cinclus,,,688 Western Acres Road,Nanaimo,BRITISH COLUMBIA,CANADA,(778) 269-5297,stevenjbaillie@gmail.com,,15/2/2021
Coastal Resource Mapping Ltd (CRM),COMPANY,,#5-4515 Uplands Drive,Nanaimo,BRITISH COLUMBIA,CANADA,250-758-4323 (ext. 1),john@crmltd.ca,,15/2/2021
Coastland Research,COMPANY,,2115 22nd Ave.   Smithers,Smithers,BRITISH COLUMBIA,CANADA,250-889-2830,coastlandresearch@gmail.com,,15/2/2021
Cowichan Tribes,FIRST NATION,,2380 Hatchery Rd,,BRITISH COLUMBIA,CANADA,250-746-5741,Don.Elliott@cowichantribes.com,,15/2/2021
D. Burt & Associates,COMPANY,,2245 Ashlee Road,Nanaimo,BRITISH COLUMBIA,CANADA,250-753-0027,DBurt_and_Assoc@telus.net,,15/2/2021
D.R. Clough Consulting,COMPANY,,6966 Leland Road   ,Lantzville,BRITISH COLUMBIA,CANADA,250-390-2901 / 250-714-5416 (cell),drclough@shaw.ca,,15/2/2021
Department of Fisheries and Oceans - Coded Wire Tag Program,GOVERNMENT,Coded Wire Tag Program,3189 Hammond Bay Road,Nanaimo,BRITISH COLUMBIA,CANADA,250-756-7224,kathryn.fraser@dfo-mpo.gc.ca,https://www.pac.dfo-mpo.gc.ca/pacific-smon-pacifique/science/research-recherche/cwt-mmc-eng.html,9/9/2020
Department of Fisheries and Oceans - Genetics Laboratory,GOVERNMENT,Genetics Laboratory,3190 Hammond Bay Road,Nanaimo,BRITISH COLUMBIA,CANADA,250-756-7224,john.candy@dfo-mpo.gc.ca,https://www.pac.dfo-mpo.gc.ca/science/facilities-installations/pbs-sbp/mgl-lgm/index-eng.html,9/9/2020
Ditidaht First Nation,FIRST NATION,,Box 340,Port Alberni,BRITISH COLUMBIA,CANADA,250-745-3333,psieber@ditidaht.ca,,15/2/2021
Ecofish Research Ltd ,COMPANY,,600 Comox Road,Courtenay,BRITISH COLUMBIA,CANADA,250-334-3042,imurphy@ecofishresearch.com,,15/2/2021
Ecometric Research ,COMPANY,,3560 West 22nd  Avenue,Vancouver,BRITISH COLUMBIA,CANADA,604-737-8314,jkorman@ecometric.com,,15/2/2021
EKOS Research Associates,COMPANY,,"359 Kent St,  Suite 300",Ottawa,ONTARIO,CANADA,613-235-7215 (ext. 112),djansen@ekos.com,,15/2/2021
ESSA Technologies Ltd,COMPANY,,#600-2695 Granville St,Vancouver,BRITISH COLUMBIA,CANADA,604-637-9591,bma@essa.com,,15/2/2021
Fraser Thompson Indian Services Society (formerly Nlaka'pamux Nation),FIRST NATION,,1632 St. Georges Road,Lytton,BRITISH COLUMBIA,CANADA,250-455-2711,nlakapamux@nntc.ca,https://www.nntc.ca/pages/affiliates.aspx,21/10/2020
Galeforce Consultants Ltd.,COMPANY,,7222 Warner Street,Powell River,BRITISH COLUMBIA,CANADA,604-414-6174,H20_cathy@hotmail.com,,15/2/2021
Gitksan Watershed Authorities,FIRST NATION,,Box 166,Hazelton,BRITISH COLUMBIA,CANADA,250-842-2213,,http://gitksanwatershed.com/,16/9/2020
Gitxaala Nation,FIRST NATION,,11 Ocean Drive,Kitkatla,BRITISH COLUMBIA,CANADA,250-848-2214,,https://www.gitxaalanation.com/,16/9/2020
Golder Associates Ltd.,COMPANY,,Suite 300- 398 Harbour Road,Victoria,BRITISH COLUMBIA,CANADA,250-881-7372,Jesse_Maddaloni@golder.com,https://www.golder.com/,15/2/2021
Haisla Nation Council,FIRST NATION,,Box 1101,Kitamaat Village,BRITISH COLUMBIA,CANADA,250-639-9361,fisheries@haisla.ca,https://haisla.ca/,16/9/2020
Ha'oom Fisheries Society,FIRST NATION,,"320 Opitsaht  IR Road, PO Box 1108",Tofino,BRITISH COLUMBIA,CANADA,250-725-2802,paul@haoom.ca,,15/2/2021
Heiltsuk Tribal Council,FIRST NATION,,Box 880,Waglisla,BRITISH COLUMBIA,CANADA,250-957-2381,reception@heiltsuk.ca,http://www.heiltsuknation.ca/,16/9/2020
Hupacasath First Nation,FIRST NATION,,Box 211,Port Alberni,BRITISH COLUMBIA,CANADA,250-724-4091,Rick@hupacasath.ca,,15/2/2021
Huu-ay-aht First Nation,FIRST NATION,,4644 Adelaide St,Port Alberni,BRITISH COLUMBIA,CANADA,250-728-3414,christine.g@huuayaht.org,,15/2/2021
InStream Fisheries Research Inc.,COMPANY,,1121A Enterprise Way  ,Squamish,BRITISH COLUMBIA,CANADA,604-892-4615,caroline@instream.net,,15/2/2021
InStream Fisheries Research Inc.,COMPANY,, 215-2323 Boundary Rd.,Vancouver,BRITISH COLUMBIA,CANADA,604-428-8819,dani@instream.net,,15/2/2021
J.O. Thomas and Associates,COMPANY,,1370 Kootenay St,Vancouver,BRITISH COLUMBIA,CANADA,604-291-6340,tallmand@jothomas.com,,15/2/2021
