Classification,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,
AS-01,51538.00,53498.00,55530.00,57643.00,,,,,,,
AS-02,57430.00,59612.00,61877.00,,,,,,,,
AS-03,61558.00,63895.00,66324.00,,,,,,,,
AS-04,67241.00,69796.00,72660.00,,,,,,,,
AS-05,80274.00,83325.00,86788.00,,,,,,,,
BI-01,55821.00,59157.00,61365.00,63573.00,65781.00,67991.00,69741.00,,,,
BI-02,60653.00,63497.00,66338.00,69197.00,72023.00,74718.00,78653.00,82590.00,,,
BI-03,76280.00,79702.00,83114.00,86534.00,89951.00,93367.00,96786.00,98208.00,,,
BI-04,94619.00,98015.00,101416.00,104819.00,108348.00,112429.00,,,,,
BI-05,104788.00,108937.00,113085.00,117232.00,119539.00,122703.00,,,,,
CH-02,60653.00,63497.00,66338.00,69197.00,72023.00,74718.00,78653.00,82590.00,,,
CH-03,76280.00,79702.00,83114.00,86534.00,89951.00,93367.00,96786.00,98208.00,,,
CR-03,43078.00,44206.00,45337.00,46467.00,,,,,,,
CR-04,47729.00,48996.00,50261.00,51518.00,,,,,,,
CS-03,83147.00,86010.00,88874.00,91740.00,94602.00,97462.00,100325.00,103304.00,,,
EG-02,49457.00,51431.00,53492.00,55628.00,57852.00,60171.00,,,,,
EG-03,54399.00,56577.00,58838.00,61190.00,63640.00,66185.00,,,,,
EG-04,59842.00,62234.00,64724.00,67314.00,70003.00,72804.00,,,,,
EG-05,65822.00,68452.00,71196.00,74039.00,77005.00,80083.00,,,,,
EG-06,72406.00,75300.00,78317.00,81446.00,84702.00,88091.00,,,,,
EL-03,53887.00,55946.00,60400.00,64862.00,68804.00,,,,,,
EL-05,66605.00,69180.00,71744.00,74308.00,77282.00,81666.00,,,,,
EL-07,80532.00,83510.00,86496.00,89477.00,93058.00,98333.00,,,,,
EN-ENG-04,96191.00,99384.00,102588.00,105788.00,108986.00,112186.00,,,,,
EN-SUR-03,90180.00,92538.00,94899.00,97260.00,99627.00,101990.00,106303.00,109493.00,,,
EN-SUR-05,112309.00,116135.00,119974.00,123817.00,127648.00,131484.00,135429.00,,,,
EX-01,,,,,,,,,,,
EX-03,,,,,,,,,,,
GL-MAN-04,23.56,24.59,25.60,,,,,,,,
GL-MAN-05,24.36,25.39,26.47,,,,,,,,
GL-MAN-06,25.21,26.30,27.39,,,,,,,,
GL-MAN-07,26.05,27.21,28.33,,,,,,,,
GL-PIP-11,32.00,33.38,34.79,,,,,,,,
GT-02,49647.00,51087.00,52521.00,53962.00,56118.00,,,,,,
GT-03,55520.00,57185.00,58865.00,60531.00,62955.00,,,,,,
GT-04,62556.00,64492.00,66438.00,68387.00,71124.00,,,,,,
MA-03,68410.00,70771.00,73136.00,75519.00,77906.00,80594.00,,,,,
MA-04,81686.00,84109.00,86769.00,89439.00,92094.00,95271.00,,,,,
PC-01,57882.00,60335.00,62827.00,65316.00,67814.00,70309.00,,,,,
PC-02,68891.00,71622.00,74341.00,77075.00,79797.00,82590.00,,,,,
PC-03,83007.00,86158.00,89324.00,92471.00,95625.00,98777.00,,,,,
PC-04,96173.00,99536.00,102903.00,106269.00,109631.00,112997.00,,,,,
SE-REM-01,89446.00,92909.00,96371.00,99829.00,103289.00,106753.00,110208.00,113671.00,117132.00,,
SE-REM-02,103139.00,106633.00,110134.00,113633.00,117132.00,120628.00,124124.00,127622.00,131120.00,,
SE-RES-01,55870.00,58807.00,61746.00,64690.00,67627.00,70560.00,73504.00,75710.00,,,
SE-RES-02,69372.00,73693.00,78009.00,82330.00,86653.00,90964.00,95287.00,99608.00,103917.00,107034.00,
SE-RES-03,87671.00,91132.00,94591.00,98047.00,101509.00,104973.00,108433.00,111893.00,115352.00,118813.00,
SE-RES-04,104993.00,108838.00,112677.00,116517.00,120364.00,124198.00,128041.00,131882.00,,,
SE-RES-05,114962.00,119167.00,123376.00,127582.00,131791.00,135997.00,140207.00,144413.00,,,
SE-RES-XX,,,,,,,,,,,
STDNT00,,,,,,,,,,,
ST-SCY-02,45101.00,46279.00,47454.00,48621.00,,,,,,,
