unique_id,item_name,description,owner,size,container_space,category,type
AABattery,AA Battery,AA Battery,Marine Mammals,,,Survey Gear,Consumable
AfterBite1,After Bite Gel,After Bite Gel,Marine Mammals,,,Necropsy,Consumable
AircraftHeadset1,Aircraft Headset,Bose Noise Cancelling Headset (TC),Marine Mammals,,,Survey Gear,Durable
AndroidPhoneCharger1,Android Phone charger,Android Phone charger,Marine Mammals,,,Survey Gear,Durable
AngleReporter1,Angle Reporter,Homemade angle reporter with clamps,Marine Mammals,,,Survey Gear,Durable
Bandaid1,Bandaids,Box of bandaids,Marine Mammals,,,Necropsy,Consumable
Binocular3,Binoculars,Fujifilm Techno-stabi binoculars with hard case,Marine Mammals,,,Survey Gear,Durable
Binoculars1,Binoculars,Army binoculars,Marine Mammals,small,,Necropsy,Durable
Binoculars2,Binoculars,Long range binoculars,Marine Mammals,,,Survey Gear,Durable
BinocularStrap1,Binocular Strap,Heavy duty binocular strap carrier,Marine Mammals,,,Survey Gear,Durable
Boots10,Rubber boots,Rubber Boots,Marine Mammals,10,,Necropsy,Durable
Boots11,Rubber boots,Rubber Boots,Marine Mammals,11,,Necropsy,Durable
Boots12,Rubber boots,Rubber Boots,Marine Mammals,12,,Necropsy,Durable
Boots7,Rubber boots,Rubber Boots,Marine Mammals,7,,Necropsy,Durable
Boots8,Rubber boots,Rubber Boots,Marine Mammals,8,,Necropsy,Durable
Boots9,Rubber boots,Rubber Boots,Marine Mammals,9,,Necropsy,Durable
BoxKnife1,Box knife,Box knife,Marine Mammals,,,Necropsy,Consumable
Buckets1,Bucket,Orange plastic bucket,Marine Mammals,small,,Necropsy,Durable
Buckets2,Bucket,Orange plastic bucket,Marine Mammals,large,,Necropsy,Durable
CableTies1,Cable ties,"14"" cable ties",Marine Mammals,large,,Necropsy,Consumable
CautionTape1,Caution Tape,Yellow plastic caution tape rolls,Marine Mammals,,,Necropsy,Consumable
ChestWader1,Chest Wader,Chest Wader,Marine Mammals,M,,Necropsy,Durable
ChestWader2,Chest Wader,Chest Wader,Marine Mammals,L,,Necropsy,Durable
ChestWader3,Chest Wader,Chest Wader,Marine Mammals,XL,,Necropsy,Durable
ChestWader4,Chest Wader,Blue Chest wader,Marine Mammals,small,,Survey Gear,Consumable
ChestWaderStorage1,Blue rubbermaid,blue rubbermaid with chest waders,Marine Mammals,small,0,Necropsy,Durable
ChickenCoopLocker1,Chicken Coop Locker,"Chicken Coop Locker, key with Mylene",Marine Mammals,,,Survey Gear,Durable
Cleaner1,Cleaner Spray,Simple green wash,Marine Mammals,,,Necropsy,Consumable
CleaningBrush1,Dish brush,Dish brush for scrubbing,Marine Mammals,small,,Necropsy,Consumable
