Id,UniqueID,Item Name,Description,Owner,Size (if applicable),Container space available (if applicable),Category,Type
1,AABattery,AA Battery,AA Battery,Marine Mammals,,,Survey Gear,Consumable
2,AfterBite1,After Bite Gel,After Bite Gel,Marine Mammals,,,Necropsy,Consumable
3,AircraftHeadset1,Aircraft Headset,Bose Noise Cancelling Headset (TC),Marine Mammals,,,Survey Gear,Durable
4,AndroidPhoneCharger1,Android Phone charger,Android Phone charger,Marine Mammals,,,Survey Gear,Durable
5,AngleReporter1,Angle Reporter,Homemade angle reporter with clamps,Marine Mammals,,,Survey Gear,Durable
6,Bandaid1,Bandaids,Box of bandaids,Marine Mammals,,,Necropsy,Consumable
7,Binocular3,Binoculars,Fujifilm Techno-stabi binoculars with hard case,Marine Mammals,,,Survey Gear,Durable
8,Binoculars1,Binoculars,Army binoculars,Marine Mammals,small,,Necropsy,Durable
9,Binoculars2,Binoculars,Long range binoculars,Marine Mammals,,,Survey Gear,Durable
10,BinocularStrap1,Binocular Strap,Heavy duty binocular strap carrier,Marine Mammals,,,Survey Gear,Durable
11,Boots10,Rubber boots,Rubber Boots,Marine Mammals,10,,Necropsy,Durable
12,Boots11,Rubber boots,Rubber Boots,Marine Mammals,11,,Necropsy,Durable
13,Boots12,Rubber boots,Rubber Boots,Marine Mammals,12,,Necropsy,Durable
14,Boots7,Rubber boots,Rubber Boots,Marine Mammals,7,,Necropsy,Durable
15,Boots8,Rubber boots,Rubber Boots,Marine Mammals,8,,Necropsy,Durable
16,Boots9,Rubber boots,Rubber Boots,Marine Mammals,9,,Necropsy,Durable
17,BoxKnife1,Box knife,Box knife,Marine Mammals,,,Necropsy,Consumable
18,Buckets1,Bucket,Orange plastic bucket,Marine Mammals,small,,Necropsy,Durable
19,Buckets2,Bucket,Orange plastic bucket,Marine Mammals,large,,Necropsy,Durable
20,CableTies1,Cable ties,"14"" cable ties",Marine Mammals,large,,Necropsy,Consumable
21,CautionTape1,Caution Tape,Yellow plastic caution tape rolls,Marine Mammals,,,Necropsy,Consumable
22,ChestWader1,Chest Wader,Chest Wader,Marine Mammals,M,,Necropsy,Durable
23,ChestWader2,Chest Wader,Chest Wader,Marine Mammals,L,,Necropsy,Durable
24,ChestWader3,Chest Wader,Chest Wader,Marine Mammals,XL,,Necropsy,Durable
25,ChestWader4,Chest Wader,Blue Chest wader,Marine Mammals,small,,Survey Gear,Consumable
26,ChestWaderStorage1,Blue rubbermaid,blue rubbermaid with chest waders,Marine Mammals,small,0,Necropsy,Durable
27,ChickenCoopLocker1,Chicken Coop Locker,"Chicken Coop Locker, key with Mylene",Marine Mammals,,,Survey Gear,Durable
28,Cleaner1,Cleaner Spray,Simple green wash,Marine Mammals,,,Necropsy,Consumable
29,CleaningBrush1,Dish brush,Dish brush for scrubbing,Marine Mammals,small,,Necropsy,Consumable
30,CleaningBrush2,Scrub Brush,Scrub Brush,Marine Mammals,Large,,Necropsy,Consumable
31,CleaningSupplies1,Black Crate,Black crate filled with cleaning supplies,Marine Mammals,large,5,Necropsy,Durable
